順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,直近30日販売数（子）,画像URL,ライバル候補
1,B0CSVG1J93,N/A,https://www.amazon.co.jp/%E3%83%8D%E3%82%A4%E3%83%AB%E3%83%8D%E3%82%A4%E3%83%AB-%E3%83%8D%E3%82%A4%E3%83%AB%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%E3%83%A1%E3%83%B3%E3%83%88-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%8F%E3%83%B3%E3%83%89%E3%82%B1%E3%82%A2-%E3%81%95%E3%81%95%E3%81%8F%E3%82%8C%E3%82%B1%E3%82%A2/dp/B0CSVG1J93/ref=zg_bs_g_4754952051_d_sccl_1/356-1778989-8756505?psc=1,88,4.4,"1,041","1,000+","https://images-fe.ssl-images-amazon.com/images/I/61z67Frb8oL._AC_UL600_SR600,400_.jpg",
2,B0FFC9BPRT,N/A,https://www.amazon.co.jp/%E3%80%90%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB%E3%80%91OPI-%E3%82%AA%E3%83%BC%E3%83%94%E3%83%BC%E3%82%A2%E3%82%A4-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB-NSSC001-%E3%80%90%E5%9B%BD%E5%86%85%E6%AD%A3%E8%A6%8F%E5%93%81%E3%80%91/dp/B0FFC9BPRT/ref=zg_bs_g_4754952051_d_sccl_2/356-1778989-8756505?psc=1,22602,4.1,"3,110",N/A,"https://images-fe.ssl-images-amazon.com/images/I/61Fmxx0sF4L._AC_UL600_SR600,400_.jpg",
3,B005QL8VW2,N/A,https://www.amazon.co.jp/kaina-BNK-001-%E3%82%AB%E3%82%A4%E3%83%8A-%E3%83%87%E3%82%A4%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E7%88%AA%E5%89%B2%E3%82%8C%E4%BF%9D%E8%AD%B7-%E7%88%AA%E8%A3%9C%E5%BC%B7%E3%80%81%E7%88%AA%E8%A3%9C%E4%BF%AE-%E3%82%B5%E3%83%A9%E3%81%A3%E3%81%A8%E3%81%97%E3%81%A6%E3%81%9F%E3%81%A3%E3%81%B7%E3%82%8A%E6%BD%A4%E3%81%86-%E5%A4%A9%E7%84%B6%E7%94%B1%E6%9D%A596-5-20ml/dp/B005QL8VW2/ref=zg_bs_g_4754952051_d_sccl_3/356-1778989-8756505?psc=1,113,4.2,121,50+,"https://images-fe.ssl-images-amazon.com/images/I/61Hx3cpHHGL._AC_UL600_SR600,400_.jpg",
4,B00013YYS0,N/A,https://www.amazon.co.jp/%E3%80%90%E4%B8%96%E7%95%8C%E4%B8%AD%E3%81%A7%E6%84%9B%E3%81%95%E3%82%8C%E7%B6%9A%E3%81%91%E3%82%8B-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E7%88%AA%E5%91%A8%E3%82%8A%E3%81%AE%E4%B9%BE%E7%87%A5%E3%81%AB%E6%82%A9%E3%82%80%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AB%EF%BC%81-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%AA%E3%82%A4%E3%83%AB-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%82%AA%E3%82%A4%E3%83%AB/dp/B00013YYS0/ref=zg_bs_g_4754952051_d_sccl_4/356-1778989-8756505?psc=1,1051,4.5,153,100+,"https://images-fe.ssl-images-amazon.com/images/I/81n1FfKoIlL._AC_UL600_SR600,400_.jpg",
5,B01E37QZTA,N/A,https://www.amazon.co.jp/%E3%83%8A%E3%83%81%E3%83%A5%E3%83%A9%E3%83%AB%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4-NF%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-5g/dp/B01E37QZTA/ref=zg_bs_g_4754952051_d_sccl_5/356-1778989-8756505?psc=1,11,4.0,21,10+,"https://images-fe.ssl-images-amazon.com/images/I/61dRry6a+qL._AC_UL600_SR600,400_.jpg",
6,B0FFCF8BFG,N/A,https://www.amazon.co.jp/%E3%80%90%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB%E3%80%91OPI-%E3%82%AA%E3%83%BC%E3%83%94%E3%83%BC%E3%82%A2%E3%82%A4-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB-NSSC006/dp/B0FFCF8BFG/ref=zg_bs_g_4754952051_d_sccl_6/356-1778989-8756505?psc=1,73,4.6,43,20+,"https://images-fe.ssl-images-amazon.com/images/I/41XKlnELnEL._AC_UL600_SR600,400_.jpg",
7,B016T25LEW,＜お得な２個パック＞メンソレータム ハンドベール ビューティー プレミアムリッチネイル 12g入り×２個,https://www.amazon.co.jp/%EF%BC%9C%E3%81%8A%E5%BE%97%E3%81%AA%EF%BC%92%E5%80%8B%E3%83%91%E3%83%83%E3%82%AF%EF%BC%9E%E3%83%A1%E3%83%B3%E3%82%BD%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%A0-%E3%83%8F%E3%83%B3%E3%83%89%E3%83%99%E3%83%BC%E3%83%AB-%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC-%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E3%83%AA%E3%83%83%E3%83%81%E3%83%8D%E3%82%A4%E3%83%AB-12g%E5%85%A5%E3%82%8A%C3%97%EF%BC%92%E5%80%8B/dp/B016T25LEW/ref=zg_bs_g_4754952051_d_sccl_7/356-1778989-8756505?psc=1,39,4.0,29,20+,"https://images-fe.ssl-images-amazon.com/images/I/513p3n1kgXL._AC_UL600_SR600,400_.jpg",
8,B0GJD9MJJC,ohora 公式 PC-CS-001-J : ライスキューティクルセラム/ネイルクリーム オホーラ ネイルケア ネイルオイル ネイル オイル ネイルケアオイル 甘皮ケア 甘皮 爪 保湿 ささくれ ケア 爪ケア ネイル美容液 美容液 爪オイル キューティクル,https://www.amazon.co.jp/ohora-%E5%85%AC%E5%BC%8F-PC-CS-001-J-%E3%83%A9%E3%82%A4%E3%82%B9%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%82%BB%E3%83%A9%E3%83%A0-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%AA%E3%82%A4%E3%83%AB/dp/B0GJD9MJJC/ref=zg_bs_g_4754952051_d_sccl_8/356-1778989-8756505?psc=1,N/A,N/A,12,N/A,"https://images-fe.ssl-images-amazon.com/images/I/61p6a3s0qgL._AC_UL600_SR600,400_.jpg",
9,B0B9D75FPB,N/A,https://www.amazon.co.jp/%E3%83%A2%E3%83%AD%E3%83%83%E3%82%AB%E3%83%B3%E3%82%AA%E3%82%A4%E3%83%AB%EF%BC%88MOROCCANOIL%EF%BC%89%E3%83%8F%E3%83%B3%E3%83%89%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E3%83%95%E3%83%AC%E3%82%B0%E3%83%A9%E3%83%B3%E3%82%B9-%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB-%E3%82%A2%E3%83%AB%E3%82%AC%E3%83%B3%E3%82%AA%E3%82%A4%E3%83%AB-%E3%83%92%E3%82%A2%E3%83%AB%E3%83%AD%E3%83%B3%E9%85%B8%E9%85%8D%E5%90%88/dp/B0B9D75FPB/ref=zg_bs_g_4754952051_d_sccl_9/356-1778989-8756505?psc=1,878,4.6,52,30+,"https://images-fe.ssl-images-amazon.com/images/I/51e9-Lx+FQL._AC_UL600_SR600,400_.jpg",
10,B0CD3R3C1B,日本天然物研究所 からだWelcia 成分マニアがつくったネイル&フィンガークリーム 30G,https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E5%A4%A9%E7%84%B6%E7%89%A9%E7%A0%94%E7%A9%B6%E6%89%80-%E3%81%8B%E3%82%89%E3%81%A0Welcia-%E6%88%90%E5%88%86%E3%83%9E%E3%83%8B%E3%82%A2%E3%81%8C%E3%81%A4%E3%81%8F%E3%81%A3%E3%81%9F%E3%83%8D%E3%82%A4%E3%83%AB-%E3%83%95%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%BC%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-30G/dp/B0CD3R3C1B/ref=zg_bs_g_4754952051_d_sccl_10/356-1778989-8756505?psc=1,5,5.0,48,40+,"https://images-fe.ssl-images-amazon.com/images/I/21rAtB2ACgL._AC_UL600_SR600,400_.jpg",
11,B0FP2JZ68L,N/A,https://www.amazon.co.jp/%E3%83%AA%E3%83%BC%E3%83%95-%E3%83%9C%E3%82%BF%E3%83%8B%E3%82%AF%E3%82%B9-%E3%80%90%E7%A7%8B%E5%86%AC%E9%99%90%E5%AE%9A%E3%80%91%E3%83%AA%E3%83%BC%E3%83%95%EF%BC%86%E3%83%9C%E3%82%BF%E3%83%8B%E3%82%AF%E3%82%B9-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%A8%E3%83%83%E3%82%BB%E3%83%B3%E3%82%B9-%E3%83%99%E3%83%AB%E3%82%AC%E3%83%A2%E3%83%83%E3%83%88/dp/B0FP2JZ68L/ref=zg_bs_g_4754952051_d_sccl_11/356-1778989-8756505?psc=1,2,3.0,N/A,N/A,"https://images-fe.ssl-images-amazon.com/images/I/51aBocEDUJL._AC_UL600_SR600,400_.jpg",
12,B01M8K5IQX,Nuxe(ニュクス) レーブ ド ミエル ハンド＆ネイル クリーム 50mL,https://www.amazon.co.jp/%E3%83%8B%E3%83%A5%E3%82%AF%E3%82%B9-NUXE-%E3%83%AC%E3%83%BC%E3%83%96%E3%83%89%E3%83%9F%E3%82%A8%E3%83%AB-%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-50mL/dp/B01M8K5IQX/ref=zg_bs_g_4754952051_d_sccl_12/356-1778989-8756505?psc=1,734,4.5,27,10+,"https://images-fe.ssl-images-amazon.com/images/I/61mviTbvgtL._AC_UL600_SR600,400_.jpg",
