順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,直近30日販売数（子）,画像URL,ライバル候補
1,B0DLKDLNQB,Nannlia ペンケース 透明 大容量 おしゃれ 筆箱 韓国 可愛い おしゃれ ふでばこ シンプル 中学生 高校生 大学生 男の子 女の子 (グレー),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%81%B5%E3%81%A7%E3%81%B0%E3%81%93-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B0DLKDLNQB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-7,17,4.0,104,N/A,https://m.media-amazon.com/images/I/61fW5KisQdL._AC_UL320_.jpg,ライバル候補
2,B0C22KB72C,ペンケース 韓国ins人気 ック生地ペンケース 大容量 収納 可愛い シンプルなデザイン 文房具 男の子 女の子 子ども 小学生 中学生 高校生 大学生 社会人用 (18*5*8cm),https://www.amazon.co.jp/%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E9%9F%93%E5%9B%BDins%E4%BA%BA%E6%B0%97-%E3%83%83%E3%82%AF%E7%94%9F%E5%9C%B0%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%81%AA%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3-%E7%A4%BE%E4%BC%9A%E4%BA%BA%E7%94%A8/dp/B0C22KB72C/ref=sr_1_8?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-8,N/A,N/A,21,N/A,https://m.media-amazon.com/images/I/61SNsep6rLL._AC_UL320_.jpg,
3,B0C53J355Y,サムコス ペンケース 筆箱 ネコ 可愛い おしゃれ ック生地ペンケース 大容量 シンプル 文房具 韓国ins人気 筆入れ 子供 小学生 中学生 高校生 大学生 男の子 女の子 (ベージュ),https://www.amazon.co.jp/%E3%82%B5%E3%83%A0%E3%82%B3%E3%82%B9-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%83%83%E3%82%AF%E7%94%9F%E5%9C%B0%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E9%9F%93%E5%9B%BDins%E4%BA%BA%E6%B0%97/dp/B0C53J355Y/ref=sr_1_9?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-9,25,4.1,102,50+,https://m.media-amazon.com/images/I/51Ngw227xtL._AC_UL320_.jpg,
4,B0DL5DKJG6,Nannlia ペンケース 韓国 おしゃれ 筆箱 大容量 中学生 高校生 (ホワイト),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E5%A4%A7%E5%AE%B9%E9%87%8F-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88/dp/B0DL5DKJG6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-10,1,5.0,59,N/A,https://m.media-amazon.com/images/I/41--YnmbDNL._AC_UL320_.jpg,
5,B0D2NFS9CW,ZEWZE ペンケース 韓国 筆箱 大容量 おしゃれ かわいい 小物 ポーチ ペンポーチ 中学生 高校生 女の子 文房具 収納バッグ マルチポーチ 化粧ポーチ (グレー-クマ柄),https://www.amazon.co.jp/ZEWZE-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%9A%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%81-%E3%83%9E%E3%83%AB%E3%83%81%E3%83%9D%E3%83%BC%E3%83%81-%E3%82%B0%E3%83%AC%E3%83%BC-%E3%82%AF%E3%83%9E%E6%9F%84/dp/B0D2NFS9CW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-15,10,4.3,62,N/A,https://m.media-amazon.com/images/I/71nkZFGN1QL._AC_UL320_.jpg,
6,B0DQJGX6SW,筆箱 かわいい 韓国 高校生 女子 筆箱韓国 リボン ペンケース 可愛い おしゃれ ふでばこ 中学生 女の子 化粧ポーチ (ブラック),https://www.amazon.co.jp/%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84-%E7%AD%86%E7%AE%B1%E9%9F%93%E5%9B%BD-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E5%8C%96%E7%B2%A7%E3%83%9D%E3%83%BC%E3%83%81/dp/B0DQJGX6SW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-16,11,4.4,20,N/A,https://m.media-amazon.com/images/I/71e7TLgxx8L._AC_UL320_.jpg,
7,B0DS88DRWS,ideastore 筆箱 韓国 ペンケース かわいい シンプル おしゃれ 高校生 ワッフル柄 (ピンク),https://www.amazon.co.jp/ideastore-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB-%E3%83%AF%E3%83%83%E3%83%95%E3%83%AB%E6%9F%84/dp/B0DS88DRWS/ref=sr_1_17?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-17,4,4.3,30,N/A,https://m.media-amazon.com/images/I/51J-SJiWExL._AC_UL320_.jpg,
8,B0DNJVRVDN,PAVIKE 可愛いペンケース 筆箱 19*11cm ペン入れ 大容量 リボン刺繍 学生 大人 オシャレなペンケース 韓国風 文具屋 学校 ピンクブラック シンプルなペンケース,https://www.amazon.co.jp/PAVIKE-%E5%8F%AF%E6%84%9B%E3%81%84%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%AA%E3%82%B7%E3%83%A3%E3%83%AC%E3%81%AA%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%94%E3%83%B3%E3%82%AF%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%81%AA%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9/dp/B0DNJVRVDN/ref=sr_1_18?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-18,N/A,N/A,18,N/A,https://m.media-amazon.com/images/I/61GvfnrU3uL._AC_UL320_.jpg,
9,B09J23NBZ9,Nannlia ペンケース おしゃれ 韓国 大容量 筆箱 おしゃれ シンプル ふでばこ 中学生 高校生 大学生 男の子 女の子 (グレー),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E4%BA%BA%E6%B0%97%E3%81%AE%E7%AD%86%E7%AE%B1-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B09J23NBZ9/ref=sr_1_23?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-23,441,4.2,219,N/A,https://m.media-amazon.com/images/I/61hsV1oqzqL._AC_UL320_.jpg,
10,B0DM8858VC,DUXING ペンケース 筆箱 キルティング ペンケース 大容量 リボン刺繍 学生 大人 可愛い オシャレ (ホワイトブルー),https://www.amazon.co.jp/DUXING-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%AD%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0-%E3%83%AA%E3%83%9C%E3%83%B3%E5%88%BA%E7%B9%8D-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%96%E3%83%AB%E3%83%BC/dp/B0DM8858VC/ref=sr_1_24?dib=eyJ2IjoiMSJ9.725T-ceHs4aoUQOwfOmTUWlSyFCs-FXuKfVOcKjZd9hHUGSUlzHn3Zqab-N27teRMeJJqBm1iUtWkN71gEDnac6jNCZCVCRoa3BSB_WZhAjT1NGxfHgDnHG194znX4TTxc4MTCvD42fVbbemJgMcW6G8iCx78h7SOvbOktJyDb9OvwYno12k32OU0jiC23vff1NvFQG8uFGebuwcN4xxjxYRWbc-8MESRdrf1vj6zcrjJmG4Gy9wsONsqWX_hVoTRdMqrqPb23NZtWA_wIpZzlkIkKdbVYgpsTMty1I31nY.NjLQrdsbX7vR3EViv5lKzmhQYB3KoQLsDXFLGjjM9fQ&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1750633014&sr=8-24,1,4.0,9,N/A,https://m.media-amazon.com/images/I/31RjPKHo1OL._AC_UL320_.jpg,
