順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,直近30日販売数（子）,画像URL,ライバル候補
1,B0781YS42T,【手口ふき 】Mama Bear ベビー 手口ふき 純水99% 60枚入×20個 (1200枚) [ケース品] [Amazonブランド] 日本製 パラベンフリー,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MToyNDk4Mzk5NzExNTI2Njg4OjE3NTE0MTExMzg6c3BfYXRmOjEwMDgwNDAyMTYwMzo6MDo6&url=%2FAmazon%25E3%2583%2596%25E3%2583%25A9%25E3%2583%25B3%25E3%2583%2589-Mama-Bear-60%25E6%259E%259A%25E5%2585%25A5%25C3%259720%25E5%2580%258B-%25E3%2583%2591%25E3%2583%25A9%25E3%2583%2599%25E3%2583%25B3%25E3%2583%2595%25E3%2583%25AA%25E3%2583%25BC%2Fdp%2FB0781YS42T%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU%26dib_tag%3Dse%26keywords%3D%25E3%2581%258A%25E5%25B0%25BB%25E3%2581%25B5%25E3%2581%258D%2B%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9%26qid%3D1751411137%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,4.3,"31,538","7,000+",https://m.media-amazon.com/images/I/71gvEB6bzPL._AC_UL320_.jpg,
2,B09FY22YKJ,レック(LEC) アンパンマン おしりふきケース 安心ロック付き (水99.9% おしりふき 1個付き),https://www.amazon.co.jp/%E3%82%A2%E3%83%B3%E3%83%91%E3%83%B3%E3%83%9E%E3%83%B3-%E3%81%8A%E3%81%97%E3%82%8A%E3%81%B5%E3%81%8D%E3%82%B1%E3%83%BC%E3%82%B9-%E5%AE%89%E5%BF%83%E3%83%AD%E3%83%83%E3%82%AF%E4%BB%98%E3%81%8D-%E6%B0%B499-9-%E3%81%8A%E3%81%97%E3%82%8A%E3%81%B5%E3%81%8D/dp/B09FY22YKJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-7,801,4.5,327,100+,https://m.media-amazon.com/images/I/51Y00mCgHiL._AC_UL320_.jpg,
3,B0DM1R16KB,レック(LEC) くまのプーさん ウェットシート ケース (ベビーおしりふき付き) ワンプッシュオープン チャイルドロック付 日本製,https://www.amazon.co.jp/%E3%81%8F%E3%81%BE%E3%81%AE%E3%83%97%E3%83%BC%E3%81%95%E3%82%93-%E3%82%A6%E3%82%A7%E3%83%83%E3%83%88%E3%82%B7%E3%83%BC%E3%83%88-%E3%83%99%E3%83%93%E3%83%BC%E3%81%8A%E3%81%97%E3%82%8A%E3%81%B5%E3%81%8D%E4%BB%98%E3%81%8D-%E3%83%AF%E3%83%B3%E3%83%97%E3%83%83%E3%82%B7%E3%83%A5%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3-%E3%83%81%E3%83%A3%E3%82%A4%E3%83%AB%E3%83%89%E3%83%AD%E3%83%83%E3%82%AF%E4%BB%98/dp/B0DM1R16KB/ref=sr_1_8?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-8,216,4.4,261,200+,https://m.media-amazon.com/images/I/619wf6MbMML._AC_UL320_.jpg,
4,B0CG8LCSX8,マーナ (marna) シートケース (片手でワンタッチ開閉/しっかり閉まって乾燥を防ぐ) ウェットティッシュ ケース おしりふき パッキン付き グレー 容器 W649GY,https://www.amazon.co.jp/%E3%83%9E%E3%83%BC%E3%83%8A-%E7%89%87%E6%89%8B%E3%81%A7%E3%83%AF%E3%83%B3%E3%82%BF%E3%83%83%E3%83%81%E9%96%8B%E9%96%89-%E3%81%97%E3%81%A3%E3%81%8B%E3%82%8A%E9%96%89%E3%81%BE%E3%81%A3%E3%81%A6%E4%B9%BE%E7%87%A5%E3%82%92%E9%98%B2%E3%81%90-%E3%82%A6%E3%82%A7%E3%83%83%E3%83%88%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5-%E3%82%B0%E3%83%83%E3%83%89%E3%83%AD%E3%83%83%E3%82%AF%E3%82%B3%E3%83%B3%E3%83%86%E3%83%8A/dp/B0CG8LCSX8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-9,499,4.3,"1,821",500+,https://m.media-amazon.com/images/I/41hJjfk+zKL._AC_UL320_.jpg,
5,B0BN92HSZX,TraEn230 おしり拭きケース お尻拭きケース おしりふき ウェットティッシュ ケース 手口拭き (カフェオレ),https://www.amazon.co.jp/TraEn230-%E3%81%8A%E3%81%97%E3%82%8A%E6%8B%AD%E3%81%8D%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E5%B0%BB%E6%8B%AD%E3%81%8D%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%8A%E3%81%B5%E3%81%8D-%E3%82%A6%E3%82%A7%E3%83%83%E3%83%88%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5/dp/B0BN92HSZX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-10,158,4.4,77,N/A,https://m.media-amazon.com/images/I/61PW7IZV7vL._AC_UL320_.jpg,
6,B07SBJP154,by Amazon 純水99% ウェットティッシュ メッシュタイプ 60枚入×20個 (1200枚) 日本製 パラベンフリー(SOLIMO),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MToyNDk4Mzk5NzExNTI2Njg4OjE3NTE0MTExMzg6c3BfbXRmOjEwMjcyODkxNTgwMzo6MDo6&url=%2FAmazon%25E3%2583%2596%25E3%2583%25A9%25E3%2583%25B3%25E3%2583%2589-SOLIMO-%25E3%2582%25A6%25E3%2582%25A7%25E3%2583%2583%25E3%2583%2588%25E3%2583%2586%25E3%2582%25A3%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A5-%25E3%2583%25A1%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A5%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%2597-60%25E6%259E%259A%25E5%2585%25A5%25C3%259720%25E5%2580%258B%2Fdp%2FB07SBJP154%2Fref%3Dsr_1_11_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU%26dib_tag%3Dse%26keywords%3D%25E3%2581%258A%25E5%25B0%25BB%25E3%2581%25B5%25E3%2581%258D%2B%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9%26qid%3D1751411137%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,N/A,4.3,"9,824","5,000+",https://m.media-amazon.com/images/I/81lqH70Je9L._AC_UL320_.jpg,
7,B01MR814AO,山崎実業 おしりふき 収納 ケース スマート ホワイト 3255,https://www.amazon.co.jp/%E5%B1%B1%E5%B4%8E%E5%AE%9F%E6%A5%AD-%E3%81%8A%E3%81%97%E3%82%8A%E3%81%B5%E3%81%8D-%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88-3255/dp/B01MR814AO/ref=sr_1_15?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-15,N/A,4.0,128,N/A,https://m.media-amazon.com/images/I/51tSN3wDK2L._AC_UL320_.jpg,
8,B0DKF1C1TP,ROUNDS 自動開閉 ウェットティッシュケース おしりふきケース Smartru手が汚れていてもフタに触れずに取り出せる ベビーテック(R)アワード2024 アカチャンホンポ賞受賞,https://www.amazon.co.jp/ROUNDS-%E3%82%A6%E3%82%A7%E3%83%83%E3%83%88%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%8A%E3%81%B5%E3%81%8D%E3%82%B1%E3%83%BC%E3%82%B9-Smartru%E6%89%8B%E3%81%8C%E6%B1%9A%E3%82%8C%E3%81%A6%E3%81%84%E3%81%A6%E3%82%82%E3%83%95%E3%82%BF%E3%81%AB%E8%A7%A6%E3%82%8C%E3%81%9A%E3%81%AB%E5%8F%96%E3%82%8A%E5%87%BA%E3%81%9B%E3%82%8B-%E3%82%A2%E3%82%AB%E3%83%81%E3%83%A3%E3%83%B3%E3%83%9B%E3%83%B3%E3%83%9D%E8%B3%9E%E5%8F%97%E8%B3%9E/dp/B0DKF1C1TP/ref=sr_1_16?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-16,59,4.6,223,200+,https://m.media-amazon.com/images/I/41Edm29nz4L._AC_UL320_.jpg,
9,B072C4T8S7,ワンプッシュ ウェットティッシュケース,https://www.amazon.co.jp/%E5%B1%B1%E7%94%B0%E5%8C%96%E5%AD%A6-%E3%83%AF%E3%83%B3%E3%83%97%E3%83%83%E3%82%B7%E3%83%A5-%E3%82%A6%E3%82%A7%E3%83%83%E3%83%88%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%82%B1%E3%83%BC%E3%82%B9/dp/B072C4T8S7/ref=sr_1_17?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-17,84,3.3,132,100+,https://m.media-amazon.com/images/I/41o-Qs2hIYL._AC_UL320_.jpg,
10,B0C3MDZ3HR,丸眞 おしりふきケース polku(ポルク) メッツァマルヤ 北欧 かわいい レディース ワンプッシュ 携帯式 持ち運び 0545029900,https://www.amazon.co.jp/%E4%B8%B8%E7%9C%9E-%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%A6%E3%82%A7%E3%83%83%E3%83%88%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%82%B1%E3%83%BC%E3%82%B9-%E7%B4%84H14-5%C3%97W22%C3%97D5cm%EF%BC%88%E6%8C%81%E3%81%A1%E6%89%8B%E9%83%A8%E5%88%86%E5%90%AB%E3%82%81%E3%81%9A%EF%BC%89-0545029900/dp/B0C3MDZ3HR/ref=sr_1_18?dib=eyJ2IjoiMSJ9.q9r2UFJlzwebSzXe323xz5xgb-UUx0F_Ngj3eLyiR4w9sZWq57Q7HKTqa4rxHbeuOnCzGLt4oS_tSyJjsONBaOFyi2WmG9I2-Zpspv7opq_4_7XpxOKvSphEDUa5uTSPvvVF-8CWypv4ri_MtJGg7s5qmMo0BKqAR8IPdpRynvl0EBKQswm3FpzDvxUOzU4nda2YrYOrbozl6mKvi-FHoYHA9nM0W23eUvqpEPLUGaUvYKoxQjRXvLU_-hCBEoPtVzxPEwPEPV9NZ_3RV1buPlXu9qut9YxpXd-pqUepCno.SoWmmV5x30lIuiU9rxsabrYhqoY3Y9EYv7pUuc3zJTU&dib_tag=se&keywords=%E3%81%8A%E5%B0%BB%E3%81%B5%E3%81%8D+%E3%82%B1%E3%83%BC%E3%82%B9&qid=1751411137&sr=8-18,85,3.2,148,N/A,https://m.media-amazon.com/images/I/61L2MDcv4AL._AC_UL320_.jpg,
