"商品名","販売数","商品URL","画像URL"
"韓国スタイルのクリアメッシュペンシルケース1個、試験専用の文具バッグ、大容量で収納に便利","2200","https://jp.shein.com/1pc-Korean-Style-Clear-Mesh-Pencil-Case-Exam-Specific-Stationery-Bag-With-Large-Capacity-For-Convenient-Storage-Back-To-School-p-25211349.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2023/10/22/22/1697968522fc6fac4dec4d1059fdb07b7ec3711c45_thumbnail_600x.webp"
"SHEIN X Jess 1個 クリームバブル布鉛筆ケース、シンプルな鉛筆バッグ、学生、文具、化粧品収納袋に最適","1500","https://jp.shein.com/SHEIN-X-Jess-1pc-Cream-Bubble-Cloth-Pencil-Case-Simple-Pencil-Bag-Suitable-For-Students-Stationery-Cosmetics-Storage-Bag-p-23335466.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2023/09/14/00/16946800510e599ac9f158a48c67c3984c0d7f473e_thumbnail_600x.webp"
"かわいいキャラクター ペンケース 文房具収納バッグ INS韓国風、 小学生 中学生の学校準備に、大容量で高品質","1800","https://jp.shein.com/Plush-Pen-Bag-Ins-Korean-Style-Cute-Cartoon-Stationery-Storage-Bag-For-Primary-School-Middle-School-Students-High-Capacity-And-Highly-Attractive-Back-To-School-p-31385913.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/03/06/eb/1709701865f9d3b4bb10c7e1a01e990adff6f0ebaf_thumbnail_600x.webp"
"リボン柄ペンケース 刺繍入り ペンポーチ、女性/学生向けステーショナリーオーガナイザー、イヤホン収納アクセサリー","9900","https://jp.shein.com/Bow-Knot-Pen-Bag-Embroidered-Pen-Pouch-Women-Student-Stationery-Organizer-Earphone-Storage-Accessory-Back-To-School-p-38644751.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/10/02/52/17278622836d4389ca28e9d4cf19960ea63154580c_thumbnail_600x.webp"
"韓国語版漫画キルティング鉛筆バッグ学生ダウンジャケット生地鉛筆バッグ真珠光沢のある色文具収納袋","3200","https://jp.shein.com/Korean-Version-Cartoon-Quilted-Pencil-Bag-Student-Down-Jacket-Fabric-Pencil-Bag-Pearlescent-Color-Stationery-Storage-Bag-p-27625129.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2025/03/03/93/1740987832dde48cb6e04b35dd3b64072a89f885fd_thumbnail_600x.webp"
"1個 キャンディーカラーのやわらかい学生文房具収納ペンバッグ","800","https://jp.shein.com/1pc-Candy-Color-Soft-Student-Stationery-Storage-Pen-Bag-Back-To-School-p-44999768.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/10/13/ae/1728807902b0e8aa3dc72870432d87fdfdd16b6a98_thumbnail_600x.webp"
"透明な 5層メッシュ ペンケース、筆記用具・文具の収納に最適、学校用ポーチ 透明ポケット付き","2300","https://jp.shein.com/Transparent-5-Layer-Mesh-Bag-Pen-Pencil-Case-Visable-Pocket-Storage-Pouch-For-Stationery-School-Back-To-School-p-37656102.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/06/25/59/1719320380f7fffa984f242fa579e3b20b68c24db1_thumbnail_600x.webp"
"かわいいぬいぐるみチェリーケーキペンバッグ1個 女の子向け 大容量の高価値文房具バッグ、文房具や化粧品の収納に最適","100","https://jp.shein.com/1pc-Cute-Plush-Cherry-Cake-Pen-Bag-High-Value-Stationery-Bag-With-Large-Capacity-For-Girls-Suitable-For-Storage-Of-Stationery-And-Cosmetics-Back-To-School-p-36586323.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/06/08/44/17178141036664f120444df839f39ff498234968e4_thumbnail_600x.webp"
"1個 22cm*10cm おもしろ発爆髪デザインペンケース、かわいいカートゥーン文房具ストレージバッグ、大容量の学生文房具バッグ、化粧ポーチ、オフィス、学校、学生、誕生日プレゼントに適しています","800","https://jp.shein.com/1Pc-22-10Cm-Funny-Explosive-Hair-Expression-Pen-Bag-Cute-Cartoon-Stationery-Storage-Bag-Large-Capacity-Student-Stationery-Bag-Cosmetics-Storage-Bag-Suitable-For-Offices-Schools-Students-Birthday-Gifts-p-53520924.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/v4/j/pi/2025/04/26/21/1745672425b07f67e707b814f8bdb50bd11483b4c9_thumbnail_600x.webp"
"かわいい面白いかえる大容量学生ペンケース、ビッグマウス グリーンポーチバッグ","400","https://jp.shein.com/Cute-Funny-Frog-Large-Capacity-Student-Pencil-Pouch-Big-Mouth-Green-Pouch-Bag-p-59485514.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2025/03/03/88/1740968053c7be052eabdeff5534890a12e87cfe52_thumbnail_600x.webp"
