順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,ライバル候補
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JIpsLcKb364hdHbgfMF80cQAAAGWooiZGwcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICB4K0_-/https://www.amazon.co.jp/stores/page/5A54D0C5-CEC1-43F5-9D90-C8653466849A/?_encoding=UTF8&pd_rd_plhdr=t&pd_rd_i=B098D2MJZ5&ref_=sbx_be_s_sparkle_ssd_bkg&store_ref=SBV_A009065791E7ZN7QTTBJ-A079712625TLU9TT3GGYD&lp_asins=B098D2MJZ5%2CB098DNN679%2CB0B36JF96T&pd_rd_w=YE14o&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=9HTWK2Q7BQ0S876KZ1HB&pd_rd_wg=jf4M2&pd_rd_r=bbf51980-ea3a-4b53-8dfe-3ce8228527dd,N/A,Previous page,598,
2,,N/A,N/A,N/A,N/A,236,
3,B07G12CGD3,KIMINO甘皮処理 ネイルニッパー 甘皮 ニッパー ニッパー爪切り キューティクルニッパー ネイルケア 甘皮 甘皮ケア キューティクル プッシャー付き マニキュア ペディキュア & キューティクル ツール,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo4OTQ0NTA2ODQ2MjAxNTY1OjE3NDY0ODM1ODM6c3BfYXRmOjk5NDUyNDc2MzAxOjowOjo&url=%2F%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB-KIMINO-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E5%258C%25BB%25E7%2599%2582%25E7%2594%25A8%25E3%2582%25B0%25E3%2583%25AC%25E3%2583%25BC%25E3%2583%2589-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB07G12CGD3%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87BBtmy4hwm1CA9aSwTaNOHbwRtKtrf8F-4xbnIKmSFPmf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCB1BYN2IlsTokdRr_SyBB6SvG-nRNY9g1cSVzMMjWEodEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-B7-uaoZ_vCOsML_eTeGaU-S5lO8PZaE7UvzNBVszoE-7L3vTBU9a8qOseUqbdrKl7yl_m0KDgVX8EYqGTIf8X3wzs5prUImfWNntMlJcgn40._jZo2BbG8GC87bbDIL7zVRNIS443PQF_kneehuwh38Y%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746483583%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2278,4.1,441,
4,B0DPQHN59X,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo4OTQ0NTA2ODQ2MjAxNTY1OjE3NDY0ODM1ODM6c3BfYXRmOjMwMDA3MjA2NzQwOTg2Mjo6MDo6&url=%2FLULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E3%2582%25B8%25E3%2582%25A7%25E3%2583%25AB%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%2Fdp%2FB0DPQHN59X%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87BBtmy4hwm1CA9aSwTaNOHbwRtKtrf8F-4xbnIKmSFPmf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCB1BYN2IlsTokdRr_SyBB6SvG-nRNY9g1cSVzMMjWEodEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-B7-uaoZ_vCOsML_eTeGaU-S5lO8PZaE7UvzNBVszoE-7L3vTBU9a8qOseUqbdrKl7yl_m0KDgVX8EYqGTIf8X3wzs5prUImfWNntMlJcgn40._jZo2BbG8GC87bbDIL7zVRNIS443PQF_kneehuwh38Y%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746483583%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,90,4.5,"1,988",
5,B095H9RST7,キューティクルニッパー 甘皮 ネイル 甘皮処理 ネイルケア ニッパー プッシャー,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo4OTQ0NTA2ODQ2MjAxNTY1OjE3NDY0ODM1ODM6c3BfYXRmOjMwMDAyNTc3OTY1MTU2Mjo6MDo6&url=%2FRozally-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%2Fdp%2FB095H9RST7%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87BBtmy4hwm1CA9aSwTaNOHbwRtKtrf8F-4xbnIKmSFPmf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCB1BYN2IlsTokdRr_SyBB6SvG-nRNY9g1cSVzMMjWEodEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-B7-uaoZ_vCOsML_eTeGaU-S5lO8PZaE7UvzNBVszoE-7L3vTBU9a8qOseUqbdrKl7yl_m0KDgVX8EYqGTIf8X3wzs5prUImfWNntMlJcgn40._jZo2BbG8GC87bbDIL7zVRNIS443PQF_kneehuwh38Y%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746483583%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,976,4.4,425,
6,B08ZKF6HMB,PROTAIR キューティクルニッパー 甘皮処理 ネイルケア プッシャー付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo4OTQ0NTA2ODQ2MjAxNTY1OjE3NDY0ODM1ODM6c3BfYXRmOjEwODE1MDYwMjMwMjo6MDo6&url=%2FPROTAIR-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB08ZKF6HMB%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87BBtmy4hwm1CA9aSwTaNOHbwRtKtrf8F-4xbnIKmSFPmf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCB1BYN2IlsTokdRr_SyBB6SvG-nRNY9g1cSVzMMjWEodEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-B7-uaoZ_vCOsML_eTeGaU-S5lO8PZaE7UvzNBVszoE-7L3vTBU9a8qOseUqbdrKl7yl_m0KDgVX8EYqGTIf8X3wzs5prUImfWNntMlJcgn40._jZo2BbG8GC87bbDIL7zVRNIS443PQF_kneehuwh38Y%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746483583%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,3707,4.5,"1,988",
7,B0DHX1F4RJ,【トップネイリスト監修】 Cheria キューティクルニッパー 甘皮処理 ネイルケア プッシャー 爪美人,https://www.amazon.co.jp/%E3%80%90%E3%83%88%E3%83%83%E3%83%97%E3%83%8D%E3%82%A4%E3%83%AA%E3%82%B9%E3%83%88%E7%9B%A3%E4%BF%AE%E3%80%91-Cheria-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC/dp/B0DHX1F4RJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87BBtmy4hwm1CA9aSwTaNOHbwRtKtrf8F-4xbnIKmSFPmf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCB1BYN2IlsTokdRr_SyBB6SvG-nRNY9g1cSVzMMjWEodEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-B7-uaoZ_vCOsML_eTeGaU-S5lO8PZaE7UvzNBVszoE-7L3vTBU9a8qOseUqbdrKl7yl_m0KDgVX8EYqGTIf8X3wzs5prUImfWNntMlJcgn40._jZo2BbG8GC87bbDIL7zVRNIS443PQF_kneehuwh38Y&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC&qid=1746483583&sr=8-5,79,4.0,236,
8,B08ZKF6HMB,PROTAIR キューティクルニッパー 甘皮処理 ネイルケア プッシャー付き,https://www.amazon.co.jp/PROTAIR-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E4%BB%98%E3%81%8D/dp/B08ZKF6HMB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87BBtmy4hwm1CA9aSwTaNOHbwRtKtrf8F-4xbnIKmSFPmf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCB1BYN2IlsTokdRr_SyBB6SvG-nRNY9g1cSVzMMjWEodEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-B7-uaoZ_vCOsML_eTeGaU-S5lO8PZaE7UvzNBVszoE-7L3vTBU9a8qOseUqbdrKl7yl_m0KDgVX8EYqGTIf8X3wzs5prUImfWNntMlJcgn40._jZo2BbG8GC87bbDIL7zVRNIS443PQF_kneehuwh38Y&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC&qid=1746483583&sr=8-6,3707,4.5,441,
9,B004NMVMKI,内海 キューティクルニッパー C103 3mm 全長90mm/刃先3mm 初級クラス,https://www.amazon.co.jp/%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-C103-%E5%85%A8%E9%95%B790mm-%E5%88%83%E5%85%883mm-%E5%88%9D%E7%B4%9A%E3%82%AF%E3%83%A9%E3%82%B9/dp/B004NMVMKI/ref=sr_1_7?dib=eyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87BBtmy4hwm1CA9aSwTaNOHbwRtKtrf8F-4xbnIKmSFPmf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCB1BYN2IlsTokdRr_SyBB6SvG-nRNY9g1cSVzMMjWEodEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-B7-uaoZ_vCOsML_eTeGaU-S5lO8PZaE7UvzNBVszoE-7L3vTBU9a8qOseUqbdrKl7yl_m0KDgVX8EYqGTIf8X3wzs5prUImfWNntMlJcgn40._jZo2BbG8GC87bbDIL7zVRNIS443PQF_kneehuwh38Y&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC&qid=1746483583&sr=8-7,325,4.0,598,
10,,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp#,90,4.5,381,
