順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位,トラフィック比率
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JAk7EWL2VPs6mA-VMmC1my8AAAGWpgARkAcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCzjT2b/https://www.amazon.co.jp/dp/B098D2MJZ5/?_encoding=UTF8&_encoding=UTF8&pd_rd_i=B098D2MJZ5&ref_=sxts_sparkle_sbv&ref_=sbx_be_s_sparkle_ssd_bkg&qid=1746541744&pd_rd_w=4v3hm&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=WNN1V3BDNA7RW24T9HXY&pd_rd_wg=2A2kY&pd_rd_r=9d3b15a3-117f-4fb9-bc54-a62d5acbeb04,N/A,N/A,N/A,,,
2,,N/A,N/A,N/A,N/A,N/A,,,
3,B0BG7H83GJ,THRAU キューティクルニッパー 甘皮 ニッパー 甘皮処理 ネイルニッパー 甘皮ケア ささくれ用爪切り 外科用ステンレススチール素材 ネイルケアツール 刃先5mm,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo1ODEwMTY4ODMwMjE0NzQwOjE3NDY1NDE3NDQ6c3BfYXRmOjMwMDA3OTEwNjY4NjE2Mjo6MDo6&url=%2FTHRAU-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2581%2595%25E3%2581%2595%25E3%2581%258F%25E3%2582%258C%25E7%2594%25A8%25E7%2588%25AA%25E5%2588%2587%25E3%2582%258A-%25E5%25A4%2596%25E7%25A7%2591%25E7%2594%25A8%25E3%2582%25B9%25E3%2583%2586%25E3%2583%25B3%25E3%2583%25AC%25E3%2582%25B9%25E3%2582%25B9%25E3%2583%2581%25E3%2583%25BC%25E3%2583%25AB%25E7%25B4%25A0%25E6%259D%2590-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2583%2584%25E3%2583%25BC%25E3%2583%25AB%2Fdp%2FB0BG7H83GJ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87Gob6beHQpcZ2RsnJJvqvtftTgJLSGKr85yfqWTyaV9Jf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCh9rRTWM5cdeK_ebRKyCLychjaQBmPEEOTP8UuN_1YPtEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-BJ6JUcrKsnhiAS5s52sk3YPtm2cOtJJ9ue7CgKasVteCJ3-DcbNdB7XYEZZ66JoFBYjYQSYq0F_LoujFVrobybVY5fVBps_lo4eJpW3BeL-4.R6gH7FNqTaG8jxgImVYB50SlPjqRbzfsQg0FMSrk_B0%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746541744%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,11,4.7,N/A,,,
4,B0BTY4JBZP,THRAUキューティクルトリマー、新しくアップグレードされたキューティクルニッパー、完璧なペディキュアのための安全で鋭いキューティクルカッタークリッパー、快適なグリップで持ち運びも簡単です,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo1ODEwMTY4ODMwMjE0NzQwOjE3NDY1NDE3NDQ6c3BfYXRmOjMwMDAxNDE1NzYyNzA2Mjo6MDo6&url=%2FTHRAU-ThrauCN2%2Fdp%2FB0BTY4JBZP%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87Gob6beHQpcZ2RsnJJvqvtftTgJLSGKr85yfqWTyaV9Jf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCh9rRTWM5cdeK_ebRKyCLychjaQBmPEEOTP8UuN_1YPtEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-BJ6JUcrKsnhiAS5s52sk3YPtm2cOtJJ9ue7CgKasVteCJ3-DcbNdB7XYEZZ66JoFBYjYQSYq0F_LoujFVrobybVY5fVBps_lo4eJpW3BeL-4.R6gH7FNqTaG8jxgImVYB50SlPjqRbzfsQg0FMSrk_B0%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746541744%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,133,4.0,N/A,,,
5,B0CX95YJ5M,CGBE 甘皮 ニッパー キューティクル ニッパー、ネイルニッパー 甘皮ケア 甘皮処理 ささくれニッパー ステンレス製滑り止め 甘皮切り（黒),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo1ODEwMTY4ODMwMjE0NzQwOjE3NDY1NDE3NDQ6c3BfYXRmOjMwMDAzMjU5Mjc1MDI2Mjo6MDo6&url=%2FCGBE-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB-%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%25E3%2580%2581%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2581%2595%25E3%2581%2595%25E3%2581%258F%25E3%2582%258C%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2582%25B9%25E3%2583%2586%25E3%2583%25B3%25E3%2583%25AC%25E3%2582%25B9%25E8%25A3%25BD%25E6%25BB%2591%25E3%2582%258A%25E6%25AD%25A2%25E3%2582%2581%2Fdp%2FB0CX95YJ5M%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87Gob6beHQpcZ2RsnJJvqvtftTgJLSGKr85yfqWTyaV9Jf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCh9rRTWM5cdeK_ebRKyCLychjaQBmPEEOTP8UuN_1YPtEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-BJ6JUcrKsnhiAS5s52sk3YPtm2cOtJJ9ue7CgKasVteCJ3-DcbNdB7XYEZZ66JoFBYjYQSYq0F_LoujFVrobybVY5fVBps_lo4eJpW3BeL-4.R6gH7FNqTaG8jxgImVYB50SlPjqRbzfsQg0FMSrk_B0%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746541744%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,13,4.0,N/A,,,
6,B098D2MJZ5,ビトムス キューティクルニッパー 甘皮処理 ネイルニッパー 爪ケア プッシャー 爪磨き付,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo1ODEwMTY4ODMwMjE0NzQwOjE3NDY1NDE3NDQ6c3BfYXRmOjMwMDA5MjY4NDI5MjI2Mjo6MDo6&url=%2FVITOMS-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E7%2588%25AA%25E7%25A3%25A8%25E3%2581%258D%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB098D2MJZ5%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87Gob6beHQpcZ2RsnJJvqvtftTgJLSGKr85yfqWTyaV9Jf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCh9rRTWM5cdeK_ebRKyCLychjaQBmPEEOTP8UuN_1YPtEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-BJ6JUcrKsnhiAS5s52sk3YPtm2cOtJJ9ue7CgKasVteCJ3-DcbNdB7XYEZZ66JoFBYjYQSYq0F_LoujFVrobybVY5fVBps_lo4eJpW3BeL-4.R6gH7FNqTaG8jxgImVYB50SlPjqRbzfsQg0FMSrk_B0%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%26qid%3D1746541744%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,903,4.4,N/A,,,
7,B0DHX1F4RJ,【トップネイリスト監修】 Cheria キューティクルニッパー 甘皮処理 ネイルケア プッシャー 爪美人,https://www.amazon.co.jp/%E3%80%90%E3%83%88%E3%83%83%E3%83%97%E3%83%8D%E3%82%A4%E3%83%AA%E3%82%B9%E3%83%88%E7%9B%A3%E4%BF%AE%E3%80%91-Cheria-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC/dp/B0DHX1F4RJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87Gob6beHQpcZ2RsnJJvqvtftTgJLSGKr85yfqWTyaV9Jf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCh9rRTWM5cdeK_ebRKyCLychjaQBmPEEOTP8UuN_1YPtEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-BJ6JUcrKsnhiAS5s52sk3YPtm2cOtJJ9ue7CgKasVteCJ3-DcbNdB7XYEZZ66JoFBYjYQSYq0F_LoujFVrobybVY5fVBps_lo4eJpW3BeL-4.R6gH7FNqTaG8jxgImVYB50SlPjqRbzfsQg0FMSrk_B0&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC&qid=1746541744&sr=8-5,79,4.0,N/A,,,
8,B08ZKF6HMB,PROTAIR キューティクルニッパー 甘皮処理 ネイルケア プッシャー付き,https://www.amazon.co.jp/PROTAIR-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E4%BB%98%E3%81%8D/dp/B08ZKF6HMB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87Gob6beHQpcZ2RsnJJvqvtftTgJLSGKr85yfqWTyaV9Jf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCh9rRTWM5cdeK_ebRKyCLychjaQBmPEEOTP8UuN_1YPtEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-BJ6JUcrKsnhiAS5s52sk3YPtm2cOtJJ9ue7CgKasVteCJ3-DcbNdB7XYEZZ66JoFBYjYQSYq0F_LoujFVrobybVY5fVBps_lo4eJpW3BeL-4.R6gH7FNqTaG8jxgImVYB50SlPjqRbzfsQg0FMSrk_B0&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC&qid=1746541744&sr=8-6,3707,4.5,N/A,,,
9,B089NGBJ7Z,キューティクルニッパー 甘皮切り ささくれニッパー ニッパー式爪切り 甘皮ケア 甘皮処理 甘皮 ニッパー 角質に対応 美容 ツール,https://www.amazon.co.jp/%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E7%94%98%E7%9A%AE%E5%88%87%E3%82%8A-%E3%81%95%E3%81%95%E3%81%8F%E3%82%8C%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC%E5%BC%8F%E7%88%AA%E5%88%87%E3%82%8A-%E9%AD%9A%E3%81%AE%E7%9B%AE%E3%81%AA%E3%81%A9%E3%81%AE%E8%A7%92%E8%B3%AA%E3%81%AB%E3%82%82%E5%AF%BE%E5%BF%9C/dp/B089NGBJ7Z/ref=sr_1_7?dib=eyJ2IjoiMSJ9.XxRqpqAJG1Ao6dnjqgV87Gob6beHQpcZ2RsnJJvqvtftTgJLSGKr85yfqWTyaV9Jf_a5UiZauAZxeuuxio4a7GdT16d72II00e26EyjDCMCh9rRTWM5cdeK_ebRKyCLychjaQBmPEEOTP8UuN_1YPtEHrxxeAqOiMzfAUg1qvpO6IJVKQbHqxn86myBY7c-BJ6JUcrKsnhiAS5s52sk3YPtm2cOtJJ9ue7CgKasVteCJ3-DcbNdB7XYEZZ66JoFBYjYQSYq0F_LoujFVrobybVY5fVBps_lo4eJpW3BeL-4.R6gH7FNqTaG8jxgImVYB50SlPjqRbzfsQg0FMSrk_B0&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC&qid=1746541744&sr=8-7,499,4.0,N/A,,,
10,,THRAUキューティクルトリマー、新しくアップグレードされたキューティクルニッパー、完璧なペディキュアのための安全で鋭いキューティクルカッタークリッパー、快適なグリップで持ち運びも簡単です,https://www.amazon.co.jp#,133,4.0,N/A,,,
