順位,ASIN,商品名,商品URL,画像URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位,トラフィック比率
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JJjH4zsGmzxilTzjYtVrUQcAAAGWsFI43wcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCh7CX_/https://www.amazon.co.jp/stores/page/87CAD9F5-2531-48BD-BAA5-B041848A997D/?_encoding=UTF8&store_ref=SB_A070410810QXR4CCN3EC9-A0762710138CEC06QSY9H&pd_rd_plhdr=t&aaxitk=ecda12d85a109627b6806e91b3fc7c13&hsa_cr_id=0&lp_asins=B0DXJNRQGK%2CB0DXJS7K9T%2CB0DXJGWNW9&lp_query=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=UH5Om&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=TBFQ4B3YH77MJ6RVJ9S5&pd_rd_wg=u4Tmm&pd_rd_r=937783a7-5751-45e7-b24e-0b86099e5c61,N/A,N/A,4.2.,921,,,
2,,N/A,N/A,N/A,N/A,N/A,640,,,
3,B0D2Z8CL19,MIKAGAMI キューティクルリムーバー 甘皮処理 ネイル 100ml 日本製,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDYyOTczMzEzMTQyMDE5OjE3NDY3MTQ5MDA6c3BfYXRmOjMwMDA0MDQyNTY4NzA2Mjo6MDo6&url=%2FMIKAGAMI-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB-100ml%2Fdp%2FB0D2Z8CL19%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO0rYSbBx-Z9IR7xvOju53ZPjcGGPWMCu37HKJ7iaMmIfnOAaJr1ldofsXy7lc8718YtXIGgc4Mk2kp9_KyHAcF-bX6tR0Xxd09q8yC5v3vBteORPct_8mZxi_lyrPCAiAnf4gT3YiJhbKVafVasEaHyg4TfZ7H4PjI4uiw7FvtgDsmnPuIXotNnNzolSROoIfTqic5jqMVaamclPG76cOU7GjlH8KSJR2PYoiHDgWH10.HblJW14W317jFUA_4ciD9SbrFLx9wgxB3JyvPtvB1CU%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746714900%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/618qxSk0YnL._AC_UL320_.jpg,214,4.3,257,,,
4,B0DPMQWSHJ,【甘皮ごっそり】LULUGEL キューティクルリムーバー 20ml【スポイトタイプ】 甘皮処理 ネイルケア 甘皮ケア 爪 ケア 甘皮リムーバー ゲル状速攻タイプなので 処理 時短 (20ml),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDYyOTczMzEzMTQyMDE5OjE3NDY3MTQ5MDA6c3BfYXRmOjMwMDA3MTY3MjQxNjA2Mjo6MDo6&url=%2F%25E3%2580%2590%25E7%2594%2598%25E7%259A%25AE%25E3%2581%2594%25E3%2581%25A3%25E3%2581%259D%25E3%2582%258A%25E3%2580%2591LULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-20ml%25E3%2580%2590%25E3%2582%25B9%25E3%2583%259D%25E3%2582%25A4%25E3%2583%2588%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%2597%25E3%2580%2591-%25E7%2594%2598%25E7%259A%25AE%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25B2%25E3%2583%25AB%25E7%258A%25B6%25E9%2580%259F%25E6%2594%25BB%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%2597%25E3%2581%25AA%25E3%2581%25AE%25E3%2581%25A7%2Fdp%2FB0DPMQWSHJ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO0rYSbBx-Z9IR7xvOju53ZPjcGGPWMCu37HKJ7iaMmIfnOAaJr1ldofsXy7lc8718YtXIGgc4Mk2kp9_KyHAcF-bX6tR0Xxd09q8yC5v3vBteORPct_8mZxi_lyrPCAiAnf4gT3YiJhbKVafVasEaHyg4TfZ7H4PjI4uiw7FvtgDsmnPuIXotNnNzolSROoIfTqic5jqMVaamclPG76cOU7GjlH8KSJR2PYoiHDgWH10.HblJW14W317jFUA_4ciD9SbrFLx9wgxB3JyvPtvB1CU%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746714900%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51qja5MtSCL._AC_UL320_.jpg,42,3.9,132,,,
5,B0DPMQP1Z8,【甘皮ごっそり】LULUGEL キューティクルリムーバー 100ml【スポイトタイプ20ml付き】 甘皮処理 ネイルケア 甘皮ケア 爪 ケア 甘皮リムーバー ゲル状速攻タイプなので 処理 時短 (2点セット(20ml.100ml)),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDYyOTczMzEzMTQyMDE5OjE3NDY3MTQ5MDA6c3BfYXRmOjMwMDA3MTY3MTE2MzU2Mjo6MDo6&url=%2F%25E3%2580%2590%25E7%2594%2598%25E7%259A%25AE%25E3%2581%2594%25E3%2581%25A3%25E3%2581%259D%25E3%2582%258A%25E3%2580%2591LULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-100ml%25E3%2580%2590%25E3%2582%25B9%25E3%2583%259D%25E3%2582%25A4%25E3%2583%2588%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%259720ml%25E4%25BB%2598%25E3%2581%258D%25E3%2580%2591-%25E3%2582%25B2%25E3%2583%25AB%25E7%258A%25B6%25E9%2580%259F%25E6%2594%25BB%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%2597%25E3%2581%25AA%25E3%2581%25AE%25E3%2581%25A7-20ml-100ml%2Fdp%2FB0DPMQP1Z8%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO0rYSbBx-Z9IR7xvOju53ZPjcGGPWMCu37HKJ7iaMmIfnOAaJr1ldofsXy7lc8718YtXIGgc4Mk2kp9_KyHAcF-bX6tR0Xxd09q8yC5v3vBteORPct_8mZxi_lyrPCAiAnf4gT3YiJhbKVafVasEaHyg4TfZ7H4PjI4uiw7FvtgDsmnPuIXotNnNzolSROoIfTqic5jqMVaamclPG76cOU7GjlH8KSJR2PYoiHDgWH10.HblJW14W317jFUA_4ciD9SbrFLx9wgxB3JyvPtvB1CU%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746714900%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51Yu9hszFSL._AC_UL320_.jpg,24,4.3,985,,,
6,B0DPMP36PQ,【甘皮ごっそり】LULUGEL キューティクルリムーバー 100ml 甘皮処理 ネイルケア 甘皮ケア 爪 ケア 甘皮リムーバー ゲル状速攻タイプなので 処理 時短 (100ml),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDYyOTczMzEzMTQyMDE5OjE3NDY3MTQ5MDA6c3BfYXRmOjMwMDA3MTc0NzcwNjY2Mjo6MDo6&url=%2F%25E3%2580%2590%25E7%2594%2598%25E7%259A%25AE%25E3%2581%2594%25E3%2581%25A3%25E3%2581%259D%25E3%2582%258A%25E3%2580%2591LULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-100ml-%25E7%2594%2598%25E7%259A%25AE%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25B2%25E3%2583%25AB%25E7%258A%25B6%25E9%2580%259F%25E6%2594%25BB%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%2597%25E3%2581%25AA%25E3%2581%25AE%25E3%2581%25A7%2Fdp%2FB0DPMP36PQ%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO0rYSbBx-Z9IR7xvOju53ZPjcGGPWMCu37HKJ7iaMmIfnOAaJr1ldofsXy7lc8718YtXIGgc4Mk2kp9_KyHAcF-bX6tR0Xxd09q8yC5v3vBteORPct_8mZxi_lyrPCAiAnf4gT3YiJhbKVafVasEaHyg4TfZ7H4PjI4uiw7FvtgDsmnPuIXotNnNzolSROoIfTqic5jqMVaamclPG76cOU7GjlH8KSJR2PYoiHDgWH10.HblJW14W317jFUA_4ciD9SbrFLx9wgxB3JyvPtvB1CU%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746714900%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/411HdSaX3tL._AC_UL320_.jpg,28,4.0,491,,,
7,B00JPVFY38,pa(ピーエー) キューティクルリムーバーR base07 (6mL),https://www.amazon.co.jp/pa-%E3%83%94%E3%83%BC%E3%82%A8%E3%83%BC-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BCR-base07-6mL/dp/B00JPVFY38/ref=sr_1_5?dib=eyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO0rYSbBx-Z9IR7xvOju53ZPjcGGPWMCu37HKJ7iaMmIfnOAaJr1ldofsXy7lc8718YtXIGgc4Mk2kp9_KyHAcF-bX6tR0Xxd09q8yC5v3vBteORPct_8mZxi_lyrPCAiAnf4gT3YiJhbKVafVasEaHyg4TfZ7H4PjI4uiw7FvtgDsmnPuIXotNnNzolSROoIfTqic5jqMVaamclPG76cOU7GjlH8KSJR2PYoiHDgWH10.HblJW14W317jFUA_4ciD9SbrFLx9wgxB3JyvPtvB1CU&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&qid=1746714900&sr=8-5,https://m.media-amazon.com/images/I/41nKwj6A81L._AC_UL320_.jpg,732,4.1,397,,,
8,B00O3QYNC8,ブルークロス キューティクルリムーバー 6oz,https://www.amazon.co.jp/BLUECROSS-%E3%83%96%E3%83%AB%E3%83%BC%E3%82%AF%E3%83%AD%E3%82%B9-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC-6oz/dp/B00O3QYNC8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO0rYSbBx-Z9IR7xvOju53ZPjcGGPWMCu37HKJ7iaMmIfnOAaJr1ldofsXy7lc8718YtXIGgc4Mk2kp9_KyHAcF-bX6tR0Xxd09q8yC5v3vBteORPct_8mZxi_lyrPCAiAnf4gT3YiJhbKVafVasEaHyg4TfZ7H4PjI4uiw7FvtgDsmnPuIXotNnNzolSROoIfTqic5jqMVaamclPG76cOU7GjlH8KSJR2PYoiHDgWH10.HblJW14W317jFUA_4ciD9SbrFLx9wgxB3JyvPtvB1CU&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&qid=1746714900&sr=8-6,https://m.media-amazon.com/images/I/313Jj9XeoyL._AC_UL320_.jpg,277,4.4,921,,,
9,B00XXSU8J4,デュカート キューティクルリムーバーII,https://www.amazon.co.jp/%E3%83%87%E3%83%A5%E3%82%AB%E3%83%BC%E3%83%88-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BCII/dp/B00XXSU8J4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO0rYSbBx-Z9IR7xvOju53ZPjcGGPWMCu37HKJ7iaMmIfnOAaJr1ldofsXy7lc8718YtXIGgc4Mk2kp9_KyHAcF-bX6tR0Xxd09q8yC5v3vBteORPct_8mZxi_lyrPCAiAnf4gT3YiJhbKVafVasEaHyg4TfZ7H4PjI4uiw7FvtgDsmnPuIXotNnNzolSROoIfTqic5jqMVaamclPG76cOU7GjlH8KSJR2PYoiHDgWH10.HblJW14W317jFUA_4ciD9SbrFLx9wgxB3JyvPtvB1CU&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&qid=1746714900&sr=8-7,https://m.media-amazon.com/images/I/516oyyEpCtL._AC_UL320_.jpg,349,4.0,257,,,
10,,MIKAGAMI キューティクルリムーバー 甘皮処理 ネイル 100ml 日本製,https://www.amazon.co.jp#,https://m.media-amazon.com/images/I/618qxSk0YnL._AC_UL320_.jpg,214,4.3,137,,,
