順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,ライバル候補
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JCXyqyr7OcJryKNjXPwZUqkAAAGWooeAGgcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICDrJChe/https://www.amazon.co.jp/dp/B0F13JCN74/?_encoding=UTF8&_encoding=UTF8&pd_rd_i=B0F13JCN74&ref_=sxts_sparkle_sbv&ref_=sbx_be_s_sparkle_ssd_bkg&qid=1746483511&pd_rd_w=bayZM&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=RC77RPD3ZK8N955YMC1E&pd_rd_wg=e2769&pd_rd_r=fb30d9f8-eac5-47a3-a7c8-fb20adbfeae3,N/A,N/A,236,
2,,N/A,N/A,N/A,N/A,381,
3,B0DPQHN59X,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDY3MTYwMzU4MDY0ODI0OjE3NDY0ODM1MTE6c3BfYXRmOjMwMDA3MjA2NzQwOTg2Mjo6MDo6&url=%2FLULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E3%2582%25B8%25E3%2582%25A7%25E3%2583%25AB%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%2Fdp%2FB0DPQHN59X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBgZ9fchbX8x1ubfnEySGfv1Bm0EZJCveTTxdF9CTJdEf6WnvdiHxiJwfqW65F3OT19py9TAHkCFfCoRsG4VzVVWw48Z2Oa5QFjHz18ZCCJbqbwf1E89KqHksTWBKq5Ho7PiBD7ene9uab6tzRmKwbfigv60Wh7FDG6hqsnGOQjQlOOBHMRXWTHbVxpDSqBwm7Y.0LkTtST1YoUh2iCVargRu0ffOxy39qk1vXMqW0e5CfM%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746483511%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,90,4.5,"1,071",
4,B098D2MJZ5,ビトムス キューティクルニッパー 甘皮処理 ネイルニッパー 爪ケア プッシャー 爪磨き付,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDY3MTYwMzU4MDY0ODI0OjE3NDY0ODM1MTE6c3BfYXRmOjMwMDA5MjY4NDI5MjI2Mjo6MDo6&url=%2FVITOMS-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E7%2588%25AA%25E7%25A3%25A8%25E3%2581%258D%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB098D2MJZ5%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBgZ9fchbX8x1ubfnEySGfv1Bm0EZJCveTTxdF9CTJdEf6WnvdiHxiJwfqW65F3OT19py9TAHkCFfCoRsG4VzVVWw48Z2Oa5QFjHz18ZCCJbqbwf1E89KqHksTWBKq5Ho7PiBD7ene9uab6tzRmKwbfigv60Wh7FDG6hqsnGOQjQlOOBHMRXWTHbVxpDSqBwm7Y.0LkTtST1YoUh2iCVargRu0ffOxy39qk1vXMqW0e5CfM%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746483511%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,903,4.4,245,
5,B0CZ72DMDL,KOBAKO（コバコ） ネイルケア ネイルケアセット 5点セット 甘皮ケア 爪やすり ネイルケア キューティクルケア ニッパー セルフネイル 貝印 KAI PQ3278,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDY3MTYwMzU4MDY0ODI0OjE3NDY0ODM1MTE6c3BfYXRmOjMwMDA3NzkyNTcxODg2Mjo6MDo6&url=%2FKOBAKO-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588-5%25E7%2582%25B9%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%2Fdp%2FB0CZ72DMDL%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBgZ9fchbX8x1ubfnEySGfv1Bm0EZJCveTTxdF9CTJdEf6WnvdiHxiJwfqW65F3OT19py9TAHkCFfCoRsG4VzVVWw48Z2Oa5QFjHz18ZCCJbqbwf1E89KqHksTWBKq5Ho7PiBD7ene9uab6tzRmKwbfigv60Wh7FDG6hqsnGOQjQlOOBHMRXWTHbVxpDSqBwm7Y.0LkTtST1YoUh2iCVargRu0ffOxy39qk1vXMqW0e5CfM%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746483511%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,69,4.4,"1,988",
6,B08WLQV69Z,【届いてすぐ ネイルオフ】LULUGEL アセトン ジェルネイル オフ セット 除光液 爪に優しい ジェルネイル リムーバー 日本製 200ml ネイルケア ツール５点セット(オフセット),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0MDY3MTYwMzU4MDY0ODI0OjE3NDY0ODM1MTE6c3BfYXRmOjMwMDAyMDA0MjA1MTg2Mjo6MDo6&url=%2F%25E3%2580%2590%25E5%25B1%258A%25E3%2581%2584%25E3%2581%25A6%25E7%25B0%25A1%25E5%258D%2598%25E9%2580%259F%25E6%2594%25BB-%25E3%2582%25AA%25E3%2583%2595%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%25E3%2580%2591LULUGEL-%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25B8%25E3%2582%25A7%25E3%2583%25AB%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB-%25E3%2582%25AA%25E3%2583%2595%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%25EF%25BC%259A%25E3%2583%25AD%25E3%2583%25BC%25E3%2582%25BA%2Fdp%2FB08WLQV69Z%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBgZ9fchbX8x1ubfnEySGfv1Bm0EZJCveTTxdF9CTJdEf6WnvdiHxiJwfqW65F3OT19py9TAHkCFfCoRsG4VzVVWw48Z2Oa5QFjHz18ZCCJbqbwf1E89KqHksTWBKq5Ho7PiBD7ene9uab6tzRmKwbfigv60Wh7FDG6hqsnGOQjQlOOBHMRXWTHbVxpDSqBwm7Y.0LkTtST1YoUh2iCVargRu0ffOxy39qk1vXMqW0e5CfM%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746483511%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,461,4.1,563,
7,B06W5BF2C8,Kai 貝印 KQシリーズ キューティクルお手入れセット ネイルケア,https://www.amazon.co.jp/KQ%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E8%B2%9D%E5%8D%B0-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%81%8A%E6%89%8B%E5%85%A5%E3%82%8C%E3%82%BB%E3%83%83%E3%83%88-%E3%83%8D%E3%82%A4%E3%83%AB%E7%94%A8/dp/B06W5BF2C8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBgZ9fchbX8x1ubfnEySGfv1Bm0EZJCveTTxdF9CTJdEf6WnvdiHxiJwfqW65F3OT19py9TAHkCFfCoRsG4VzVVWw48Z2Oa5QFjHz18ZCCJbqbwf1E89KqHksTWBKq5Ho7PiBD7ene9uab6tzRmKwbfigv60Wh7FDG6hqsnGOQjQlOOBHMRXWTHbVxpDSqBwm7Y.0LkTtST1YoUh2iCVargRu0ffOxy39qk1vXMqW0e5CfM&dib_tag=se&keywords=%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%83%E3%83%88&qid=1746483511&sr=8-5,320,3.8,381,
8,B08ZKF6HMB,PROTAIR キューティクルニッパー 甘皮処理 ネイルケア プッシャー付き,https://www.amazon.co.jp/PROTAIR-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E4%BB%98%E3%81%8D/dp/B08ZKF6HMB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBgZ9fchbX8x1ubfnEySGfv1Bm0EZJCveTTxdF9CTJdEf6WnvdiHxiJwfqW65F3OT19py9TAHkCFfCoRsG4VzVVWw48Z2Oa5QFjHz18ZCCJbqbwf1E89KqHksTWBKq5Ho7PiBD7ene9uab6tzRmKwbfigv60Wh7FDG6hqsnGOQjQlOOBHMRXWTHbVxpDSqBwm7Y.0LkTtST1YoUh2iCVargRu0ffOxy39qk1vXMqW0e5CfM&dib_tag=se&keywords=%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%83%E3%83%88&qid=1746483511&sr=8-6,3707,4.5,441,
9,B07YW8LK92,甘皮 処理 セット 本物志向向け キューティクル ニッパー プッシャー 爪やすり 手指 ケア セルフ ジェル ネイル 甘皮切り マニキュア ささくれ,https://www.amazon.co.jp/SACHI-%E6%9C%AC%E7%89%A9%E5%BF%97%E5%90%91%E5%90%91%E3%81%91-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC-%E3%83%9E%E3%83%8B%E3%82%AD%E3%83%A5%E3%82%A2/dp/B07YW8LK92/ref=sr_1_7?dib=eyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBgZ9fchbX8x1ubfnEySGfv1Bm0EZJCveTTxdF9CTJdEf6WnvdiHxiJwfqW65F3OT19py9TAHkCFfCoRsG4VzVVWw48Z2Oa5QFjHz18ZCCJbqbwf1E89KqHksTWBKq5Ho7PiBD7ene9uab6tzRmKwbfigv60Wh7FDG6hqsnGOQjQlOOBHMRXWTHbVxpDSqBwm7Y.0LkTtST1YoUh2iCVargRu0ffOxy39qk1vXMqW0e5CfM&dib_tag=se&keywords=%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%83%E3%83%88&qid=1746483511&sr=8-7,1271,4.3,563,
10,,爪切りセット 10点 グルーミングセット マニキュアセット ネイルケアセット 多機能 ステンレス製 携帯便利 専用収納ケース付き【ブラック】,https://www.amazon.co.jp#,125,4.6,120,
