順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位,トラフィック比率
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JC4IHnFRGxBGVmzmx5VoCLIAAAGWpf9YSgcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCSVZ84/https://www.amazon.co.jp/dp/B0F13JCN74/?_encoding=UTF8&_encoding=UTF8&pd_rd_i=B0F13JCN74&ref_=sxts_sparkle_sbv&ref_=sbx_be_s_sparkle_ssd_bkg&qid=1746541696&pd_rd_w=SiKnO&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=0JJ6R2445B2XPJAEVPDV&pd_rd_wg=AXkau&pd_rd_r=c043159d-0c71-4cc4-bf36-828e3d4ff9a1,N/A,N/A,235,,,
2,,N/A,N/A,N/A,N/A,381,,,
3,B0DPQHN59X,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTozNjUxODE4NzAzOTAzNjUxOjE3NDY1NDE2OTY6c3BfYXRmOjMwMDA3MjA2NzQwOTg2Mjo6MDo6&url=%2FLULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E3%2582%25B8%25E3%2582%25A7%25E3%2583%25AB%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%2Fdp%2FB0DPQHN59X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBjhmC9zVpYnvxjMdGv2PFKUhaqFGm6yAHBmU7WSQqLOVMKBTtzkCaHFdxusL9Z9A3jQOWL2CVTIEK3LMzkSSiqUw48Z2Oa5QFjHz18ZCCJbqSN4l4A0ZiyaaCjwFkG53-fLiWPl74XS6Ani8Omp2ngTnC2693fKE5KzKhsZFU_iKeo7URp3Ktrbw6kGiovlqt0.4KaaMeX1GrTGvcSpThxjolXLwgl6D-qCxcIaxIfTBD0%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746541696%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,90,4.5,N/A,,,
4,B098D2MJZ5,ビトムス キューティクルニッパー 甘皮処理 ネイルニッパー 爪ケア プッシャー 爪磨き付,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTozNjUxODE4NzAzOTAzNjUxOjE3NDY1NDE2OTY6c3BfYXRmOjMwMDA5MjY4NDI5MjI2Mjo6MDo6&url=%2FVITOMS-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E7%2588%25AA%25E7%25A3%25A8%25E3%2581%258D%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB098D2MJZ5%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBjhmC9zVpYnvxjMdGv2PFKUhaqFGm6yAHBmU7WSQqLOVMKBTtzkCaHFdxusL9Z9A3jQOWL2CVTIEK3LMzkSSiqUw48Z2Oa5QFjHz18ZCCJbqSN4l4A0ZiyaaCjwFkG53-fLiWPl74XS6Ani8Omp2ngTnC2693fKE5KzKhsZFU_iKeo7URp3Ktrbw6kGiovlqt0.4KaaMeX1GrTGvcSpThxjolXLwgl6D-qCxcIaxIfTBD0%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746541696%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,903,4.4,"2,347",,,
5,B07R463WTZ,Pingispowerキューティクルトリマー、キューティクルプッシャーキット、9ピース プロ仕様 キューティクルリムーバー キューティクルニッパー＆キューティクルカッター、Stainless Steel 耐久性のあるネイルケアツールセット for and Fingernails,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTozNjUxODE4NzAzOTAzNjUxOjE3NDY1NDE2OTY6c3BfYXRmOjMwMDAyNTc5MTYxNTQ2Mjo6MDo6&url=%2FPingispower%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2588%25E3%2583%25AA%25E3%2583%259E%25E3%2583%25BC%25E3%2580%2581%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%25E3%2582%25AD%25E3%2583%2583%25E3%2583%2588%25E3%2580%25819%25E3%2583%2594%25E3%2583%25BC%25E3%2582%25B9-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC%25EF%25BC%2586%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2582%25AB%25E3%2583%2583%25E3%2582%25BF%25E3%2583%25BC%25E3%2580%2581Premium-%25E8%2580%2590%25E4%25B9%2585%25E6%2580%25A7%25E3%2581%25AE%25E3%2581%2582%25E3%2582%258B%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2583%2584%25E3%2583%25BC%25E3%2583%25AB%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588-Fingernails%2Fdp%2FB07R463WTZ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBjhmC9zVpYnvxjMdGv2PFKUhaqFGm6yAHBmU7WSQqLOVMKBTtzkCaHFdxusL9Z9A3jQOWL2CVTIEK3LMzkSSiqUw48Z2Oa5QFjHz18ZCCJbqSN4l4A0ZiyaaCjwFkG53-fLiWPl74XS6Ani8Omp2ngTnC2693fKE5KzKhsZFU_iKeo7URp3Ktrbw6kGiovlqt0.4KaaMeX1GrTGvcSpThxjolXLwgl6D-qCxcIaxIfTBD0%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746541696%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,859,4.6,245,,,
6,B0D12YPNPP,【巻き爪のプロ監修】爪垢取り＆爪やすり ネイルケアセット(ステンレス製)《専用ケース＆説明書付き》爪あか取り 爪ヤスリ 巻き爪 巻爪 まきずめ まきづめ マキズメ ゾンデ | 足の快適工房,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTozNjUxODE4NzAzOTAzNjUxOjE3NDY1NDE2OTY6c3BfYXRmOjMwMDA4MzQyNzkxODc2Mjo6MDo6&url=%2F%25E3%2580%2590%25E5%25B7%25BB%25E3%2581%258D%25E7%2588%25AA%25E3%2581%25AE%25E3%2583%2597%25E3%2583%25AD%25E7%259B%25A3%25E4%25BF%25AE%25E3%2580%2591%25E7%2588%25AA%25E5%259E%25A2%25E5%258F%2596%25E3%2582%258A%25EF%25BC%2586%25E7%2588%25AA%25E3%2582%2584%25E3%2581%2599%25E3%2582%258A-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588-%25E3%2582%25B9%25E3%2583%2586%25E3%2583%25B3%25E3%2583%25AC%25E3%2582%25B9%25E8%25A3%25BD-%25E3%2580%2590%25E5%25B0%2582%25E7%2594%25A8%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9%25EF%25BC%2586%25E3%2582%25AA%25E3%2583%25AA%25E3%2582%25B8%25E3%2583%258A%25E3%2583%25AB%25E8%25AA%25AC%25E6%2598%258E%25E6%259B%25B8%25E4%25BB%2598%25E3%2581%258D%25E3%2580%2591%25E7%2588%25AA%25E3%2581%2582%25E3%2581%258B%25E5%258F%2596%25E3%2582%258A-yumegocochiLABO%2Fdp%2FB0D12YPNPP%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBjhmC9zVpYnvxjMdGv2PFKUhaqFGm6yAHBmU7WSQqLOVMKBTtzkCaHFdxusL9Z9A3jQOWL2CVTIEK3LMzkSSiqUw48Z2Oa5QFjHz18ZCCJbqSN4l4A0ZiyaaCjwFkG53-fLiWPl74XS6Ani8Omp2ngTnC2693fKE5KzKhsZFU_iKeo7URp3Ktrbw6kGiovlqt0.4KaaMeX1GrTGvcSpThxjolXLwgl6D-qCxcIaxIfTBD0%26dib_tag%3Dse%26keywords%3D%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2%25E3%2582%25BB%25E3%2583%2583%25E3%2583%2588%26qid%3D1746541696%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,417,4.3,"1,971",,,
7,B06W5BF2C8,Kai 貝印 KQシリーズ キューティクルお手入れセット ネイルケア,https://www.amazon.co.jp/KQ%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E8%B2%9D%E5%8D%B0-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%81%8A%E6%89%8B%E5%85%A5%E3%82%8C%E3%82%BB%E3%83%83%E3%83%88-%E3%83%8D%E3%82%A4%E3%83%AB%E7%94%A8/dp/B06W5BF2C8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBjhmC9zVpYnvxjMdGv2PFKUhaqFGm6yAHBmU7WSQqLOVMKBTtzkCaHFdxusL9Z9A3jQOWL2CVTIEK3LMzkSSiqUw48Z2Oa5QFjHz18ZCCJbqSN4l4A0ZiyaaCjwFkG53-fLiWPl74XS6Ani8Omp2ngTnC2693fKE5KzKhsZFU_iKeo7URp3Ktrbw6kGiovlqt0.4KaaMeX1GrTGvcSpThxjolXLwgl6D-qCxcIaxIfTBD0&dib_tag=se&keywords=%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%83%E3%83%88&qid=1746541696&sr=8-5,320,3.8,563,,,
8,B08ZKF6HMB,PROTAIR キューティクルニッパー 甘皮処理 ネイルケア プッシャー付き,https://www.amazon.co.jp/PROTAIR-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E4%BB%98%E3%81%8D/dp/B08ZKF6HMB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBjhmC9zVpYnvxjMdGv2PFKUhaqFGm6yAHBmU7WSQqLOVMKBTtzkCaHFdxusL9Z9A3jQOWL2CVTIEK3LMzkSSiqUw48Z2Oa5QFjHz18ZCCJbqSN4l4A0ZiyaaCjwFkG53-fLiWPl74XS6Ani8Omp2ngTnC2693fKE5KzKhsZFU_iKeo7URp3Ktrbw6kGiovlqt0.4KaaMeX1GrTGvcSpThxjolXLwgl6D-qCxcIaxIfTBD0&dib_tag=se&keywords=%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%83%E3%83%88&qid=1746541696&sr=8-6,3707,4.5,235,,,
9,B07YW8LK92,甘皮 処理 セット 本物志向向け キューティクル ニッパー プッシャー 爪やすり 手指 ケア セルフ ジェル ネイル 甘皮切り マニキュア ささくれ,https://www.amazon.co.jp/SACHI-%E6%9C%AC%E7%89%A9%E5%BF%97%E5%90%91%E5%90%91%E3%81%91-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC-%E3%83%9E%E3%83%8B%E3%82%AD%E3%83%A5%E3%82%A2/dp/B07YW8LK92/ref=sr_1_7?dib=eyJ2IjoiMSJ9.fnBzUlDzty0GHWy1VlNDCD5qwuRnHYqo5YKk2rSFXGuEv_rSTI5HMo_vC1tMeerOyzDQPLKUPACSXHgeWNmygbY_zexDpfAQ1IWas8aamBjhmC9zVpYnvxjMdGv2PFKUhaqFGm6yAHBmU7WSQqLOVMKBTtzkCaHFdxusL9Z9A3jQOWL2CVTIEK3LMzkSSiqUw48Z2Oa5QFjHz18ZCCJbqSN4l4A0ZiyaaCjwFkG53-fLiWPl74XS6Ani8Omp2ngTnC2693fKE5KzKhsZFU_iKeo7URp3Ktrbw6kGiovlqt0.4KaaMeX1GrTGvcSpThxjolXLwgl6D-qCxcIaxIfTBD0&dib_tag=se&keywords=%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%83%E3%83%88&qid=1746541696&sr=8-7,1271,4.3,381,,,
10,,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp#,90,4.5,"2,347",,,
