順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位,トラフィック比率
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JEE7iPkeVHvibrdNpkUrgr0AAAGWovCXPwcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAYhbVP/https://www.amazon.co.jp/stores/page/5A54D0C5-CEC1-43F5-9D90-C8653466849A/?_encoding=UTF8&pd_rd_plhdr=t&pd_rd_i=B098D2MJZ5&ref_=sbx_be_s_sparkle_ssd_bkg&store_ref=SBV_A009065791E7ZN7QTTBJ-A079712625TLU9TT3GGYD&lp_asins=B098D2MJZ5%2CB098DNN679%2CB0B36JF96T&pd_rd_w=veftI&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=7TJEKFK1KBV6B9RPNJ3S&pd_rd_wg=XJ2fE&pd_rd_r=fb5911c0-56cd-4060-8825-c2ef9b99c0ac,N/A,Previous page,236,,,
2,,N/A,N/A,N/A,N/A,919,,,
3,B07G12CGD3,KIMINO甘皮処理 ネイルニッパー 甘皮 ニッパー ニッパー爪切り キューティクルニッパー ネイルケア 甘皮 甘皮ケア キューティクル プッシャー付き マニキュア ペディキュア & キューティクル ツール,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NzI4OTM1ODE0NTM0NDY5OjE3NDY0OTAzOTg6c3BfYXRmOjk5NDUyNDc2MzAxOjowOjo&url=%2F%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB-KIMINO-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E5%258C%25BB%25E7%2599%2582%25E7%2594%25A8%25E3%2582%25B0%25E3%2583%25AC%25E3%2583%25BC%25E3%2583%2589-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB07G12CGD3%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pcWs1BTUBx4C41E_Vl5DyCPOgGIOXGaCEAsGHZ5JUI-qVplnNpSShq2Zu67jVk2aDM1NSSreA7tljWYHCZ_ZNvrQysuSCZIXfVzM1vCgH22SpJ-F_9l88fwukf1UV__sCJqhVJRLUb9wQLdKHslNmoL3xZ4PeTzCzqyEmabFAonSZF7hhe_HTNmPqdi5PKATnYAkn2tV0juulU7iUJ0VFWbmkICJ_olWbjiI4njNkePoSo77lRsfe9SQh0P0dxf-XKpElsKxNe1gVceCK_Cq6bNYof8soiNsP5E1v8LNKU.yuowcGmZ9GQtcdvluI_lAy6R7GfV8oW0uM_yswvfjD4%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746490398%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2278,4.1,441,,,
4,B0DPQHN59X,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NzI4OTM1ODE0NTM0NDY5OjE3NDY0OTAzOTg6c3BfYXRmOjMwMDA3MjA2NzQwOTg2Mjo6MDo6&url=%2FLULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E3%2582%25B8%25E3%2582%25A7%25E3%2583%25AB%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%2Fdp%2FB0DPQHN59X%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pcWs1BTUBx4C41E_Vl5DyCPOgGIOXGaCEAsGHZ5JUI-qVplnNpSShq2Zu67jVk2aDM1NSSreA7tljWYHCZ_ZNvrQysuSCZIXfVzM1vCgH22SpJ-F_9l88fwukf1UV__sCJqhVJRLUb9wQLdKHslNmoL3xZ4PeTzCzqyEmabFAonSZF7hhe_HTNmPqdi5PKATnYAkn2tV0juulU7iUJ0VFWbmkICJ_olWbjiI4njNkePoSo77lRsfe9SQh0P0dxf-XKpElsKxNe1gVceCK_Cq6bNYof8soiNsP5E1v8LNKU.yuowcGmZ9GQtcdvluI_lAy6R7GfV8oW0uM_yswvfjD4%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746490398%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,90,4.5,871,,,
5,B0D2Z8CL19,MIKAGAMI キューティクルリムーバー 甘皮処理 ネイル 100ml 日本製,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NzI4OTM1ODE0NTM0NDY5OjE3NDY0OTAzOTg6c3BfYXRmOjMwMDA0Mjc2MjQ0ODQ2Mjo6MDo6&url=%2FMIKAGAMI-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB-100ml%2Fdp%2FB0D2Z8CL19%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pcWs1BTUBx4C41E_Vl5DyCPOgGIOXGaCEAsGHZ5JUI-qVplnNpSShq2Zu67jVk2aDM1NSSreA7tljWYHCZ_ZNvrQysuSCZIXfVzM1vCgH22SpJ-F_9l88fwukf1UV__sCJqhVJRLUb9wQLdKHslNmoL3xZ4PeTzCzqyEmabFAonSZF7hhe_HTNmPqdi5PKATnYAkn2tV0juulU7iUJ0VFWbmkICJ_olWbjiI4njNkePoSo77lRsfe9SQh0P0dxf-XKpElsKxNe1gVceCK_Cq6bNYof8soiNsP5E1v8LNKU.yuowcGmZ9GQtcdvluI_lAy6R7GfV8oW0uM_yswvfjD4%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746490398%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,214,4.3,281,,,
6,B095H9RST7,キューティクルニッパー 甘皮 ネイル 甘皮処理 ネイルケア ニッパー プッシャー,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NzI4OTM1ODE0NTM0NDY5OjE3NDY0OTAzOTg6c3BfYXRmOjMwMDAyNTc3OTY1MTU2Mjo6MDo6&url=%2FRozally-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%2Fdp%2FB095H9RST7%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pcWs1BTUBx4C41E_Vl5DyCPOgGIOXGaCEAsGHZ5JUI-qVplnNpSShq2Zu67jVk2aDM1NSSreA7tljWYHCZ_ZNvrQysuSCZIXfVzM1vCgH22SpJ-F_9l88fwukf1UV__sCJqhVJRLUb9wQLdKHslNmoL3xZ4PeTzCzqyEmabFAonSZF7hhe_HTNmPqdi5PKATnYAkn2tV0juulU7iUJ0VFWbmkICJ_olWbjiI4njNkePoSo77lRsfe9SQh0P0dxf-XKpElsKxNe1gVceCK_Cq6bNYof8soiNsP5E1v8LNKU.yuowcGmZ9GQtcdvluI_lAy6R7GfV8oW0uM_yswvfjD4%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746490398%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,976,4.4,"1,988",,,
7,B0094PAOSA,デュカート キューティクルトリマー 1個 (x 1),https://www.amazon.co.jp/%E3%83%87%E3%83%A5%E3%82%AB%E3%83%BC%E3%83%88-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%88%E3%83%AA%E3%83%9E%E3%83%BC/dp/B0094PAOSA/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0pcWs1BTUBx4C41E_Vl5DyCPOgGIOXGaCEAsGHZ5JUI-qVplnNpSShq2Zu67jVk2aDM1NSSreA7tljWYHCZ_ZNvrQysuSCZIXfVzM1vCgH22SpJ-F_9l88fwukf1UV__sCJqhVJRLUb9wQLdKHslNmoL3xZ4PeTzCzqyEmabFAonSZF7hhe_HTNmPqdi5PKATnYAkn2tV0juulU7iUJ0VFWbmkICJ_olWbjiI4njNkePoSo77lRsfe9SQh0P0dxf-XKpElsKxNe1gVceCK_Cq6bNYof8soiNsP5E1v8LNKU.yuowcGmZ9GQtcdvluI_lAy6R7GfV8oW0uM_yswvfjD4&dib_tag=se&keywords=%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86&qid=1746490398&sr=8-5,545,4.1,236,,,
8,B08L31KFYT,オイルイン キューティクルプッシャーペンＡＯＰ４８０ 2個セット,https://www.amazon.co.jp/%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E3%83%88%E3%83%AC%E3%83%B3%E3%83%87%E3%82%A3-%E3%82%AA%E3%82%A4%E3%83%AB%E3%82%A4%E3%83%B3-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%9A%E3%83%B3%EF%BC%A1%EF%BC%AF%EF%BC%B0%EF%BC%94%EF%BC%98%EF%BC%90-2%E5%80%8B%E3%82%BB%E3%83%83%E3%83%88/dp/B08L31KFYT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0pcWs1BTUBx4C41E_Vl5DyCPOgGIOXGaCEAsGHZ5JUI-qVplnNpSShq2Zu67jVk2aDM1NSSreA7tljWYHCZ_ZNvrQysuSCZIXfVzM1vCgH22SpJ-F_9l88fwukf1UV__sCJqhVJRLUb9wQLdKHslNmoL3xZ4PeTzCzqyEmabFAonSZF7hhe_HTNmPqdi5PKATnYAkn2tV0juulU7iUJ0VFWbmkICJ_olWbjiI4njNkePoSo77lRsfe9SQh0P0dxf-XKpElsKxNe1gVceCK_Cq6bNYof8soiNsP5E1v8LNKU.yuowcGmZ9GQtcdvluI_lAy6R7GfV8oW0uM_yswvfjD4&dib_tag=se&keywords=%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86&qid=1746490398&sr=8-6,83,4.1,919,,,
9,B08ZKF6HMB,PROTAIR キューティクルニッパー 甘皮処理 ネイルケア プッシャー付き,https://www.amazon.co.jp/PROTAIR-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%8B%E3%83%83%E3%83%91%E3%83%BC-%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86-%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%B1%E3%82%A2-%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E4%BB%98%E3%81%8D/dp/B08ZKF6HMB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0pcWs1BTUBx4C41E_Vl5DyCPOgGIOXGaCEAsGHZ5JUI-qVplnNpSShq2Zu67jVk2aDM1NSSreA7tljWYHCZ_ZNvrQysuSCZIXfVzM1vCgH22SpJ-F_9l88fwukf1UV__sCJqhVJRLUb9wQLdKHslNmoL3xZ4PeTzCzqyEmabFAonSZF7hhe_HTNmPqdi5PKATnYAkn2tV0juulU7iUJ0VFWbmkICJ_olWbjiI4njNkePoSo77lRsfe9SQh0P0dxf-XKpElsKxNe1gVceCK_Cq6bNYof8soiNsP5E1v8LNKU.yuowcGmZ9GQtcdvluI_lAy6R7GfV8oW0uM_yswvfjD4&dib_tag=se&keywords=%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86&qid=1746490398&sr=8-7,3707,4.5,441,,,
10,,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp#,90,4.5,563,,,
