順位,ASIN,商品名,商品URL,画像URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位,トラフィック比率
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JBXXf0kY1xCNpqmQgNqcLroAAAGWsFL5RQcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBYl0nS/https://www.amazon.co.jp/stores/page/5A54D0C5-CEC1-43F5-9D90-C8653466849A/?_encoding=UTF8&pd_rd_plhdr=t&pd_rd_i=B098D2MJZ5&ref_=sbx_be_s_sparkle_ssd_bkg&store_ref=SBV_A009065791E7ZN7QTTBJ-A079712625TLU9TT3GGYD&lp_asins=B098D2MJZ5%2CB098DNN679%2CB0B36JF96T&pd_rd_w=wyEFZ&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=58DD3TDDPK98N8MCN7R0&pd_rd_wg=PgQi1&pd_rd_r=4212efb4-ab5c-44d2-8e29-181ec56b2ef6,N/A,N/A,Previous page,240,,,
2,,N/A,N/A,N/A,N/A,N/A,389,,,
3,B0DPQHN59X,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MToxODIwNDI1MTUwNzM1MjM5OjE3NDY3MTQ5NDk6c3BfYXRmOjMwMDA3MjA2NzQwOTg2Mjo6MDo6&url=%2FLULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E3%2582%25B8%25E3%2582%25A7%25E3%2583%25AB%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%2Fdp%2FB0DPQHN59X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.0KKOb7ebCRF7Z6wo65pjKLHWkAGIUOl4MXvI-3PIznb_RJhM6QohdcQr3J718Emd00hdEiplvmDwPI5LdrqUdRVwydfPCqgAfWU99zKRpYuFKcXek70ZwUTeVg4xen_FsCJqhVJRLUb9wQLdKHslNqIXL4Q1ghtBXRFQJ__0R6qUDmMgsT4xSPFuQMID8xDf5Bah0XwT0JY9xHoL25YPPcNU-MCWpMYpnw0kbZaOe2OQR-CM0Y2asiyUuoQRPOlG5It1nF6xSQA73YCOtJaf8IrLv16YW9G7F2IBjQ1Lhww.F1HZYJCccPfK1MJNbKCpmbUpXceLfx_ufzNoJhcnnKQ%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746714949%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/615o6TrbhrL._AC_UL320_.jpg,92,4.5,"1,955",,,
4,B07G12CGD3,KIMINO甘皮処理 ネイルニッパー 甘皮 ニッパー ニッパー爪切り キューティクルニッパー ネイルケア 甘皮 甘皮ケア キューティクル プッシャー付き マニキュア ペディキュア & キューティクル ツール,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MToxODIwNDI1MTUwNzM1MjM5OjE3NDY3MTQ5NDk6c3BfYXRmOjMwMDAyNzE5NjMzNDM2Mjo6MDo6&url=%2F%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB-KIMINO-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E5%258C%25BB%25E7%2599%2582%25E7%2594%25A8%25E3%2582%25B0%25E3%2583%25AC%25E3%2583%25BC%25E3%2583%2589-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB07G12CGD3%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.0KKOb7ebCRF7Z6wo65pjKLHWkAGIUOl4MXvI-3PIznb_RJhM6QohdcQr3J718Emd00hdEiplvmDwPI5LdrqUdRVwydfPCqgAfWU99zKRpYuFKcXek70ZwUTeVg4xen_FsCJqhVJRLUb9wQLdKHslNqIXL4Q1ghtBXRFQJ__0R6qUDmMgsT4xSPFuQMID8xDf5Bah0XwT0JY9xHoL25YPPcNU-MCWpMYpnw0kbZaOe2OQR-CM0Y2asiyUuoQRPOlG5It1nF6xSQA73YCOtJaf8IrLv16YW9G7F2IBjQ1Lhww.F1HZYJCccPfK1MJNbKCpmbUpXceLfx_ufzNoJhcnnKQ%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746714949%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61ZfzmDbeJL._AC_UL320_.jpg,2278,4.1,294,,,
5,B098D2MJZ5,ビトムス キューティクルニッパー 甘皮処理 ネイルニッパー 爪ケア プッシャー 爪磨き付,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MToxODIwNDI1MTUwNzM1MjM5OjE3NDY3MTQ5NDk6c3BfYXRmOjMwMDA5MjY4NDI5MjI2Mjo6MDo6&url=%2FVITOMS-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E7%2588%25AA%25E7%25A3%25A8%25E3%2581%258D%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB098D2MJZ5%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.0KKOb7ebCRF7Z6wo65pjKLHWkAGIUOl4MXvI-3PIznb_RJhM6QohdcQr3J718Emd00hdEiplvmDwPI5LdrqUdRVwydfPCqgAfWU99zKRpYuFKcXek70ZwUTeVg4xen_FsCJqhVJRLUb9wQLdKHslNqIXL4Q1ghtBXRFQJ__0R6qUDmMgsT4xSPFuQMID8xDf5Bah0XwT0JY9xHoL25YPPcNU-MCWpMYpnw0kbZaOe2OQR-CM0Y2asiyUuoQRPOlG5It1nF6xSQA73YCOtJaf8IrLv16YW9G7F2IBjQ1Lhww.F1HZYJCccPfK1MJNbKCpmbUpXceLfx_ufzNoJhcnnKQ%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746714949%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71HGrxraGpL._AC_UL320_.jpg,904,4.4,878,,,
6,B08ZKF6HMB,PROTAIR キューティクルニッパー 甘皮処理 ネイルケア プッシャー付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MToxODIwNDI1MTUwNzM1MjM5OjE3NDY3MTQ5NDk6c3BfYXRmOjEwODE1MDYwMjMwMjo6MDo6&url=%2FPROTAIR-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%25E3%2582%25B1%25E3%2582%25A2-%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC%25E4%25BB%2598%25E3%2581%258D%2Fdp%2FB08ZKF6HMB%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.0KKOb7ebCRF7Z6wo65pjKLHWkAGIUOl4MXvI-3PIznb_RJhM6QohdcQr3J718Emd00hdEiplvmDwPI5LdrqUdRVwydfPCqgAfWU99zKRpYuFKcXek70ZwUTeVg4xen_FsCJqhVJRLUb9wQLdKHslNqIXL4Q1ghtBXRFQJ__0R6qUDmMgsT4xSPFuQMID8xDf5Bah0XwT0JY9xHoL25YPPcNU-MCWpMYpnw0kbZaOe2OQR-CM0Y2asiyUuoQRPOlG5It1nF6xSQA73YCOtJaf8IrLv16YW9G7F2IBjQ1Lhww.F1HZYJCccPfK1MJNbKCpmbUpXceLfx_ufzNoJhcnnKQ%26dib_tag%3Dse%26keywords%3D%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586%26qid%3D1746714949%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/610WkLKAu2L._AC_UL320_.jpg,3709,4.5,360,,,
7,B08L31KFYT,オイルイン キューティクルプッシャーペンＡＯＰ４８０ 2個セット,https://www.amazon.co.jp/%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E3%83%88%E3%83%AC%E3%83%B3%E3%83%87%E3%82%A3-%E3%82%AA%E3%82%A4%E3%83%AB%E3%82%A4%E3%83%B3-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%9A%E3%83%B3%EF%BC%A1%EF%BC%AF%EF%BC%B0%EF%BC%94%EF%BC%98%EF%BC%90-2%E5%80%8B%E3%82%BB%E3%83%83%E3%83%88/dp/B08L31KFYT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0KKOb7ebCRF7Z6wo65pjKLHWkAGIUOl4MXvI-3PIznb_RJhM6QohdcQr3J718Emd00hdEiplvmDwPI5LdrqUdRVwydfPCqgAfWU99zKRpYuFKcXek70ZwUTeVg4xen_FsCJqhVJRLUb9wQLdKHslNqIXL4Q1ghtBXRFQJ__0R6qUDmMgsT4xSPFuQMID8xDf5Bah0XwT0JY9xHoL25YPPcNU-MCWpMYpnw0kbZaOe2OQR-CM0Y2asiyUuoQRPOlG5It1nF6xSQA73YCOtJaf8IrLv16YW9G7F2IBjQ1Lhww.F1HZYJCccPfK1MJNbKCpmbUpXceLfx_ufzNoJhcnnKQ&dib_tag=se&keywords=%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86&qid=1746714949&sr=8-5,https://m.media-amazon.com/images/I/51DomeQjXfL._AC_UL320_.jpg,83,4.1,389,,,
8,B0094PAOSA,デュカート キューティクルトリマー 1個 (x 1),https://www.amazon.co.jp/%E3%83%87%E3%83%A5%E3%82%AB%E3%83%BC%E3%83%88-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%88%E3%83%AA%E3%83%9E%E3%83%BC/dp/B0094PAOSA/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0KKOb7ebCRF7Z6wo65pjKLHWkAGIUOl4MXvI-3PIznb_RJhM6QohdcQr3J718Emd00hdEiplvmDwPI5LdrqUdRVwydfPCqgAfWU99zKRpYuFKcXek70ZwUTeVg4xen_FsCJqhVJRLUb9wQLdKHslNqIXL4Q1ghtBXRFQJ__0R6qUDmMgsT4xSPFuQMID8xDf5Bah0XwT0JY9xHoL25YPPcNU-MCWpMYpnw0kbZaOe2OQR-CM0Y2asiyUuoQRPOlG5It1nF6xSQA73YCOtJaf8IrLv16YW9G7F2IBjQ1Lhww.F1HZYJCccPfK1MJNbKCpmbUpXceLfx_ufzNoJhcnnKQ&dib_tag=se&keywords=%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86&qid=1746714949&sr=8-6,https://m.media-amazon.com/images/I/518HJ8fytaL._AC_UL320_.jpg,545,4.1,240,,,
9,B00C573X5K,ラッキートレンディ オイル オイルインキューティクルプッシャーペン インキ ューティクルプッシャーペン 1本 (x 1),https://www.amazon.co.jp/%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E3%83%88%E3%83%AC%E3%83%B3%E3%83%87%E3%82%A3-AOP480-%E3%82%AA%E3%82%A4%E3%83%AB%E3%82%A4%E3%83%B3%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%97%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%9A%E3%83%B3/dp/B00C573X5K/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0KKOb7ebCRF7Z6wo65pjKLHWkAGIUOl4MXvI-3PIznb_RJhM6QohdcQr3J718Emd00hdEiplvmDwPI5LdrqUdRVwydfPCqgAfWU99zKRpYuFKcXek70ZwUTeVg4xen_FsCJqhVJRLUb9wQLdKHslNqIXL4Q1ghtBXRFQJ__0R6qUDmMgsT4xSPFuQMID8xDf5Bah0XwT0JY9xHoL25YPPcNU-MCWpMYpnw0kbZaOe2OQR-CM0Y2asiyUuoQRPOlG5It1nF6xSQA73YCOtJaf8IrLv16YW9G7F2IBjQ1Lhww.F1HZYJCccPfK1MJNbKCpmbUpXceLfx_ufzNoJhcnnKQ&dib_tag=se&keywords=%E7%94%98%E7%9A%AE%E5%87%A6%E7%90%86&qid=1746714949&sr=8-7,https://m.media-amazon.com/images/I/71OQTxCxbBL._AC_UL320_.jpg,989,4.0,431,,,
10,,ビトムス キューティクルニッパー 甘皮処理 ネイルニッパー 爪ケア プッシャー 爪磨き付,https://www.amazon.co.jp#,https://m.media-amazon.com/images/I/71HGrxraGpL._AC_UL320_.jpg,904,4.4,"1,955",,,
