順位,ASIN,商品名,商品URL,画像URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位,トラフィック比率
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JKCiXBzSVnk301vzv-KMYLcAAAGWsHfHUwcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICA1ANQm/https://www.amazon.co.jp/stores/page/4E4D1B6B-BB37-475A-B89E-B780537D188E/?_encoding=UTF8&store_ref=SB_A00602653KZLGJKLVM6ZZ-A048277935M3MVTT9Z9GI&pd_rd_plhdr=t&aaxitk=9cb106173c504daf622d0a5ed7f0e7f4&hsa_cr_id=0&lp_asins=B0C855H2RQ%2CB0C853YX5N%2CB0CN67WHM3&lp_query=%E7%AD%86%E7%AE%B1%20%E9%9F%93%E5%9B%BD&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=cJaYs&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=ZCNBVWSX58HE9Z971A3F&pd_rd_wg=Tqpgy&pd_rd_r=13273858-a04b-4591-98a6-2dab1767af87,N/A,N/A,4.4.,42,,,
2,,N/A,N/A,N/A,N/A,N/A,N/A,,,
3,B0C6TZT295,エリシー ペンケース 筆箱 シンプル かわいい 小学生 女の子 韓国 ガバっと開く 女子 中学生,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3ODA2MzczODA5MzgzNzgxOjE3NDY3MTczNjE6c3BfYXRmOjMwMDAwMDUwOTU2NzQ2Mjo6MDo6&url=%2F%25E3%2582%25A8%25E3%2583%25AA%25E3%2582%25B7%25E3%2583%25BC-%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2582%25B7%25E3%2583%25B3%25E3%2583%2597%25E3%2583%25AB-%25E3%2581%258B%25E3%2582%258F%25E3%2581%2584%25E3%2581%2584-%25E3%2582%25AC%25E3%2583%2590%25E3%2581%25A3%25E3%2581%25A8%25E9%2596%258B%25E3%2581%258F%2Fdp%2FB0C6TZT295%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.NvplUBHQxs37uJvnlh7B9-7_-Cbl7EtuEH9ziiTZwhWX91ctkBaVvAq4UIzwT1X537TMl0uEQSa6R0l4hgIFoBUqHUl50o0YtDLHJ43OpaG0NQpZ6Uqf3U9uohw_1PmZ73KO5wKFh-HAJccyTWKbUyXc-3s0b6pyvmdAGCLqTEkuVH4uyx9_x-lafLD4a6VLmX5PgRou28jEBwIB7DkHt0C_JLJvmO0lNMHGmPWeCZ5a_fbEZRHsXAZxjLZKsQyGAZvUddsx4ttsDgzL6MhOu4mnfO5d0ZOlKLZ4ds3nRt8.tIczQgjZ2KlrLGoeSO2GQxM-O05qqrdyY8n99MBQX6s%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%2B%25E9%259F%2593%25E5%259B%25BD%26qid%3D1746717361%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61PHl55fFZL._AC_UL320_.jpg,33,3.5,35,,,
4,B0F3BZHFVM,2個入れ ペンケース 筆箱 大容量 リボン形 学生 大人 可愛い オシャレ 韓国風 (ブラック刺繍,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3ODA2MzczODA5MzgzNzgxOjE3NDY3MTczNjE6c3BfYXRmOjMwMDA5NDk2OTMzNTA2Mjo6MDo6&url=%2F2%25E5%2580%258B%25E5%2585%25A5%25E3%2582%258C-%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2583%25AA%25E3%2583%259C%25E3%2583%25B3%25E5%25BD%25A2-%25E3%2582%25AA%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25AC-%25E3%2583%2596%25E3%2583%25A9%25E3%2583%2583%25E3%2582%25AF%25E5%2588%25BA%25E7%25B9%258D%2Fdp%2FB0F3BZHFVM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.NvplUBHQxs37uJvnlh7B9-7_-Cbl7EtuEH9ziiTZwhWX91ctkBaVvAq4UIzwT1X537TMl0uEQSa6R0l4hgIFoBUqHUl50o0YtDLHJ43OpaG0NQpZ6Uqf3U9uohw_1PmZ73KO5wKFh-HAJccyTWKbUyXc-3s0b6pyvmdAGCLqTEkuVH4uyx9_x-lafLD4a6VLmX5PgRou28jEBwIB7DkHt0C_JLJvmO0lNMHGmPWeCZ5a_fbEZRHsXAZxjLZKsQyGAZvUddsx4ttsDgzL6MhOu4mnfO5d0ZOlKLZ4ds3nRt8.tIczQgjZ2KlrLGoeSO2GQxM-O05qqrdyY8n99MBQX6s%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%2B%25E9%259F%2593%25E5%259B%25BD%26qid%3D1746717361%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41utcSy230L._AC_UL320_.jpg,N/A,N/A,N/A,,,
5,B0DBQF54BC,[macaroni edge] マカロニエッジ 毛糸のペンケース ギョロメ ポーチ マルチケース 小物入れ 筆箱 モンスター レディース 収納 韓国雑貨 ハンドメイド (オフホワイト),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3ODA2MzczODA5MzgzNzgxOjE3NDY3MTczNjE6c3BfYXRmOjMwMDA4ODUzMTAxNjM2Mjo6MDo6&url=%2Fmacaroni-edge-%25E3%2583%259E%25E3%2582%25AB%25E3%2583%25AD%25E3%2583%258B%25E3%2582%25A8%25E3%2583%2583%25E3%2582%25B8-%25E6%25AF%259B%25E7%25B3%25B8%25E3%2581%25AE%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2583%259E%25E3%2583%25AB%25E3%2583%2581%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9%2Fdp%2FB0DBQF54BC%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.NvplUBHQxs37uJvnlh7B9-7_-Cbl7EtuEH9ziiTZwhWX91ctkBaVvAq4UIzwT1X537TMl0uEQSa6R0l4hgIFoBUqHUl50o0YtDLHJ43OpaG0NQpZ6Uqf3U9uohw_1PmZ73KO5wKFh-HAJccyTWKbUyXc-3s0b6pyvmdAGCLqTEkuVH4uyx9_x-lafLD4a6VLmX5PgRou28jEBwIB7DkHt0C_JLJvmO0lNMHGmPWeCZ5a_fbEZRHsXAZxjLZKsQyGAZvUddsx4ttsDgzL6MhOu4mnfO5d0ZOlKLZ4ds3nRt8.tIczQgjZ2KlrLGoeSO2GQxM-O05qqrdyY8n99MBQX6s%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%2B%25E9%259F%2593%25E5%259B%25BD%26qid%3D1746717361%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61xmR6MuqSL._AC_UL320_.jpg,N/A,N/A,230,,,
6,B0BNHYNX2C,nalaina ペンケース 魚 筆箱 ペンポーチ おしゃれ 可愛い 韓国 人気 魚型 文房具 化粧品入れ 小物入れ 収納ポーチ 筆入れ 軽量 オフィス用品 中学生 高校生 大学生 男の子 女の子,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3ODA2MzczODA5MzgzNzgxOjE3NDY3MTczNjE6c3BfYXRmOjMwMDA4Nzg0MTAzNDA2Mjo6MDo6&url=%2Fnalaina-%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2583%259A%25E3%2583%25B3%25E3%2583%259D%25E3%2583%25BC%25E3%2583%2581-%25E5%25B0%258F%25E7%2589%25A9%25E5%2585%25A5%25E3%2582%258C-%25E5%258F%258E%25E7%25B4%258D%25E3%2583%259D%25E3%2583%25BC%25E3%2583%2581%2Fdp%2FB0BNHYNX2C%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.NvplUBHQxs37uJvnlh7B9-7_-Cbl7EtuEH9ziiTZwhWX91ctkBaVvAq4UIzwT1X537TMl0uEQSa6R0l4hgIFoBUqHUl50o0YtDLHJ43OpaG0NQpZ6Uqf3U9uohw_1PmZ73KO5wKFh-HAJccyTWKbUyXc-3s0b6pyvmdAGCLqTEkuVH4uyx9_x-lafLD4a6VLmX5PgRou28jEBwIB7DkHt0C_JLJvmO0lNMHGmPWeCZ5a_fbEZRHsXAZxjLZKsQyGAZvUddsx4ttsDgzL6MhOu4mnfO5d0ZOlKLZ4ds3nRt8.tIczQgjZ2KlrLGoeSO2GQxM-O05qqrdyY8n99MBQX6s%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%2B%25E9%259F%2593%25E5%259B%25BD%26qid%3D1746717361%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71A3Zfq6tyL._AC_UL320_.jpg,6,4.7,114,ライバル候補,-,-
7,B0DLKDLNQB,Nannlia ペンケース 透明 大容量 おしゃれ 筆箱 韓国 可愛い おしゃれ ふでばこ シンプル 中学生 高校生 大学生 男の子 女の子 (グレー),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%81%B5%E3%81%A7%E3%81%B0%E3%81%93-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B0DLKDLNQB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.NvplUBHQxs37uJvnlh7B9-7_-Cbl7EtuEH9ziiTZwhWX91ctkBaVvAq4UIzwT1X537TMl0uEQSa6R0l4hgIFoBUqHUl50o0YtDLHJ43OpaG0NQpZ6Uqf3U9uohw_1PmZ73KO5wKFh-HAJccyTWKbUyXc-3s0b6pyvmdAGCLqTEkuVH4uyx9_x-lafLD4a6VLmX5PgRou28jEBwIB7DkHt0C_JLJvmO0lNMHGmPWeCZ5a_fbEZRHsXAZxjLZKsQyGAZvUddsx4ttsDgzL6MhOu4mnfO5d0ZOlKLZ4ds3nRt8.tIczQgjZ2KlrLGoeSO2GQxM-O05qqrdyY8n99MBQX6s&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1746717361&sr=8-5,https://m.media-amazon.com/images/I/61fW5KisQdL._AC_UL320_.jpg,13,4.0,187,ライバル候補,-,-
8,B0DL5DKJG6,Nannlia ペンケース 韓国 おしゃれ 筆箱 大容量 中学生 高校生 (ホワイト),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E5%A4%A7%E5%AE%B9%E9%87%8F-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88/dp/B0DL5DKJG6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.NvplUBHQxs37uJvnlh7B9-7_-Cbl7EtuEH9ziiTZwhWX91ctkBaVvAq4UIzwT1X537TMl0uEQSa6R0l4hgIFoBUqHUl50o0YtDLHJ43OpaG0NQpZ6Uqf3U9uohw_1PmZ73KO5wKFh-HAJccyTWKbUyXc-3s0b6pyvmdAGCLqTEkuVH4uyx9_x-lafLD4a6VLmX5PgRou28jEBwIB7DkHt0C_JLJvmO0lNMHGmPWeCZ5a_fbEZRHsXAZxjLZKsQyGAZvUddsx4ttsDgzL6MhOu4mnfO5d0ZOlKLZ4ds3nRt8.tIczQgjZ2KlrLGoeSO2GQxM-O05qqrdyY8n99MBQX6s&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1746717361&sr=8-6,https://m.media-amazon.com/images/I/41--YnmbDNL._AC_UL320_.jpg,N/A,N/A,149,,,
9,B0CL99RHM4,Nannlia ペンケース 韓国 おしゃれ 筆箱 大容量 シンプル 人気 かわいい ペンポーチ 筆入れ 無地 多機能 中小学生 高校生 大学生 男の子 女の子 子供用 (グリーン),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB-%E3%83%9A%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%81/dp/B0CL99RHM4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.NvplUBHQxs37uJvnlh7B9-7_-Cbl7EtuEH9ziiTZwhWX91ctkBaVvAq4UIzwT1X537TMl0uEQSa6R0l4hgIFoBUqHUl50o0YtDLHJ43OpaG0NQpZ6Uqf3U9uohw_1PmZ73KO5wKFh-HAJccyTWKbUyXc-3s0b6pyvmdAGCLqTEkuVH4uyx9_x-lafLD4a6VLmX5PgRou28jEBwIB7DkHt0C_JLJvmO0lNMHGmPWeCZ5a_fbEZRHsXAZxjLZKsQyGAZvUddsx4ttsDgzL6MhOu4mnfO5d0ZOlKLZ4ds3nRt8.tIczQgjZ2KlrLGoeSO2GQxM-O05qqrdyY8n99MBQX6s&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1746717361&sr=8-7,https://m.media-amazon.com/images/I/51TRTl7fTYL._AC_UL320_.jpg,36,3.9,22,,,
10,,[iaji] ペンケース 筆箱 革 大容量 スリム ペントレー のように使える おしゃれ シンプル (キャメル),https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JODIbQJboqkS0eMx-ypPh-wAAAGWsHfHNAcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICDbslh-/https://www.amazon.co.jp/dp/B0CF4V77MV?pd_rd_i=B0CF4V77MV&pf_rd_p=4ed139f0-5f11-4a3d-b84b-76c2f75eb9a2&pf_rd_r=ZCNBVWSX58HE9Z971A3F&pd_rd_wg=2sAVs&pd_rd_w=FPdIe&pd_rd_r=e711090e-88c6-4a44-801d-6b64db922161,https://m.media-amazon.com/images/I/71Lna1O43uL._AC_UL640_QL65_.jpg,146,4.5,159,,,
