順位,ASIN,商品名,商品URL,画像URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位,トラフィック比率
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JL1WJWEa4J2MacPD8gBNNU4AAAGW4DgFRwcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCrHJiL/clv1_CEuOPUxokZA0iHrVRNkcxxPqWn99Y6otq8c_5BWnr7pJx38w9X-xe_w19HHz9hvQjq0yzpNb3XTP8SG5q2ucZCodKR-gEvvJCU4LV1FpVAuZDa9R5WZKlYPYHxyKGK8FIo-QJA-u8o8XBktilVDrYU1NLUZOD884HV93HrgxS1eQ1PuamBEzXFStNpmvOqssRHMHeJvHlJlDT3dnO8R8Yf5bksG5l94oD0zcLowv31UxlI9tr66CRFJ3pkWWnWl7FWXfMPjKtxhPimkmNJxRfSmkWVWLzyr3J-CKyOjxR48tI0mU0qe21BKQWwrGGYan9cES0uVTRtTUiqTpDua4G8VO2NxYcBwegZMry_VyMZ9y61RHN0iD7CGv2L8tIWeAbkVKnm-RuGI9_hD1F7KAZUlKU8zGzt5JdO0pY3lOjSd7VMFRowRRRHF077ogfF4WG7myY_76mO-bWCM5bReipMUTeUmOkGGifChlJ4t8kYaWS0la4Y-1yh-oT2FeD7iDlatd9C9kEbY9gD2Aj1WVlSLeXhRiT2M1DWu3cx6rDLPabij9BjRP6lgCOw-laGrWEvMfssdxUTW3hpZUuMgmAifDDUtdhSYk1-EUsIOrrWor4r6L5rU3Wn7s3zi9a5yGCWQbZvA8ECZO8dlHGctuhAhBzKf_ZDJDeSMmlO9_96YvNGgeRieGz0pChw_jAMJ04F0F-2F44coxpsklE2CDLXsDzov8J93w5PjmNW8JPS_MgTTdWNd7mila5vUtV-q9vP9cMhKWn2TS6CnIEEXVCwt3liblUFlkiZlcVdUMUA-zp2gCG-tCjmd5o7vlaF6yJf2Feh0b6TTg5e5XaPNAu6mEt2g4j8WcMvu5rtSihW2O3F6Q1iwcnl3bv3Gq5jPVtvAFlcYttCXqP_0jXNkmBO6n-Oal_yIEGDo7JCnQmnGBoD1EL3wXXBZqVyj56EOhhzaFcPH21aWWtdfJwCqwX4BKPNrieLLm236iegFjOJ4KXhpRVUl-SrWP6CbSMl0ZDSSL8KxF0yEyaosP156T4gVhoA1jVcimjAlc8I0kkxxnTXKVdYKZCm77WL96Jd9Eb3GQUJCQNSEuCZiUdMCls8G7fg_ynaBuRJIvLxhuDLKcC0-cXvhmmAQbNo-M483EgdE8ZefjkwxaR9l6g0c3X0EZbvTiGHDYKLAEtIn6nbGt-Cye8C7_0-cYvj1KIe8GBXKWKFfh1k28UiwHiEbhL_PF0_J456R1ozqk8KJPEFrRNl0xQnq_ylK5vjkLe4LTaLsAlvO1VUnkSZBNdIAmlk8t1qVBko6VgFCbpmmlMNDIddBAaJ_owfg7pWKR6LQSNakOQna4_XzMjOgocUYsuZrW4ewP_E5xcp9wBfRZmYQvy2m3JFKMg4uyBSSNf5BnDxTxUGG2S3_QQSgiSYqdapyUjR2EOVVx76IpxuzEg2N4aAN89q4qKrwSHh_caTKL0xA-OWTUh-HXvQvHEiHKcWXH1DGmSPU09Jgjn-s83VwO82P_PBiRG3sg7rwhgNjYs2XAbQtReJpCJ5uGeM8ONRD0mv30KH_bHX2Id7QDicKqrfyv_qWoZbhwBeo_q8VEX8DOB1Dvzs_TXsbSBFg-VwlZ3c_yjaQDzpbu92DH_oaoN1yxKgqOkjdAn3N5RozmSDnyLVvN8eYSdU-iiCNvzowVdgHIaHwjDPN6_es_Wd6TKuAblZ7lHENwyuiooM7mmdpHXLKYlhl8qmeq7ZYYFTjvwCNhtiuivIdGHGOKz2WrltveluAraY1U9EvyHfwhsokqlgeGm4lRFcpdX6958VIaJcrYkmvoWO6HJDaKory6SJeUzrg679UMWvj19vBXoBkEXvdaI6cP-8nzGGL2NpmHobNkcvj6QO9aMUI3ti1vyfDWMraO53cJd4GK4uQwmszhXwNekMz2gAByWniR-zU5QUIpQnnY6wU5nP7hMJmD6eZGrk9k-Q9RI2uDbl1Cutq_ED5hSY_tl9jeDuSCOQfAiNlcbT3AQbg7OhjNFq_hPTkUaNqqW-yUjBTvtHshA9lhFhVAWs8fqlRm1qKGrNL-gKtwY4a6TO0vPcE3Fo8vuaRANkQHe6oS8EofXr26vEkqXxxGB9TxO2TKLiH5PrJEfE7Iv6a8DKx722Q9JvS5DvJ9lFm7FcL0GbHbwvP5ufuKF06mLz70/https://www.amazon.co.jp/stores/page/3A8F696A-5146-4DDA-9790-3E018402AB34/?_encoding=UTF8&store_ref=SB_A01618202XDU5NJG99FY4-A0489282IGGZ55MTPAQ3&pd_rd_plhdr=t&aaxitk=7b5ce10d2ca79abb6ca48e00d316d407&hsa_cr_id=0&lp_asins=B0DRJ5DTXS%2CB0DRJ5H76V%2CB0DRJ67J26&lp_query=%E7%AD%86%E7%AE%B1&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=Awmn8&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=SK2KKS89ZZK1JEF0V5D8&pd_rd_wg=Q3fnr&pd_rd_r=417b768c-8d00-40df-970f-0470df76d568,N/A,N/A,4.4.,796,,,
2,,N/A,N/A,N/A,N/A,N/A,203,,,
3,B0DWZY6Z4W,ペンケース 筆箱 大容量 おしゃれ シンプル 子供 小学生 中学生 高校生 男の子 女の子 大学生 大人 多機能 コンパクト 使いやすい (ブラック),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3MTUxNDA5MjkzOTc1MzE4OjE3NDc1MTg0ODk6c3BfYXRmOjMwMDA4MTM3OTg5Nzc2Mjo6MDo6&url=%2FAthbeam-%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2581%258A%25E3%2581%2597%25E3%2582%2583%25E3%2582%258C-%25E3%2582%25B3%25E3%2583%25B3%25E3%2583%2591%25E3%2582%25AF%25E3%2583%2588-%25E4%25BD%25BF%25E3%2581%2584%25E3%2582%2584%25E3%2581%2599%25E3%2581%2584%2Fdp%2FB0DWZY6Z4W%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.FUwT9ARtPgvr-41yp0qa-ETR3VJrD7nWUBqfcLfCwlakVRTwg7OlURHSxM8s_B5QCbUgxDGGJB6HbrnuWVSipCJDKwi3gjM6R2dSxkZabp3ve6vYeP3dg3ThtCLjkDzXWZBZiIL7vfwDx6NAi9jH5AxMVu53XD9qqN8OVqMLug6_VtMfOpnj12bp4NsyXOO86pEbxps0ab7VhRIYmTJNcStIf0zM0XnWMviJb3pZ9fNQrCOQWfYZetmrk4MCT5HH_C9ytbxZQmDyIk1RjlaBaAbEaYsAYLRoEYf6AP-vfOU.IxZUrxaYSfd6vHZMSIPszi-egygGqa8GOHIJk0zjt_o%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%26qid%3D1747518489%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61QRbCxP4HL._AC_UL320_.jpg,200,4.4,263,,,
4,B085H8PMYB,CCOMPANY LIMITED ペンケース ルポ2セカンド 本革 イタリアンレザー 筆箱 (ネイビー),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3MTUxNDA5MjkzOTc1MzE4OjE3NDc1MTg0ODk6c3BfYXRmOjEwMzMzMDE3NzYwMzo6MDo6&url=%2FCCOMPANY-LIMITED-%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2583%25AB%25E3%2583%259D2%25E3%2582%25BB%25E3%2582%25AB%25E3%2583%25B3%25E3%2583%2589-%25E3%2582%25A4%25E3%2582%25BF%25E3%2583%25AA%25E3%2582%25A2%25E3%2583%25B3%25E3%2583%25AC%25E3%2582%25B6%25E3%2583%25BC%2Fdp%2FB085H8PMYB%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.FUwT9ARtPgvr-41yp0qa-ETR3VJrD7nWUBqfcLfCwlakVRTwg7OlURHSxM8s_B5QCbUgxDGGJB6HbrnuWVSipCJDKwi3gjM6R2dSxkZabp3ve6vYeP3dg3ThtCLjkDzXWZBZiIL7vfwDx6NAi9jH5AxMVu53XD9qqN8OVqMLug6_VtMfOpnj12bp4NsyXOO86pEbxps0ab7VhRIYmTJNcStIf0zM0XnWMviJb3pZ9fNQrCOQWfYZetmrk4MCT5HH_C9ytbxZQmDyIk1RjlaBaAbEaYsAYLRoEYf6AP-vfOU.IxZUrxaYSfd6vHZMSIPszi-egygGqa8GOHIJk0zjt_o%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%26qid%3D1747518489%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51LKD9F46WL._AC_UL320_.jpg,770,4.5,642,,,
5,B09X56M3QK,"ペンケース 大容量 おしゃれ シンプル 便利 韓国 ペン入れ 筆箱 小物入れ 高校生 中学生 男の子 女の子 文房具 (ライトグレー, Aタイプ)",https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3MTUxNDA5MjkzOTc1MzE4OjE3NDc1MTg0ODk6c3BfYXRmOjMwMDAyMzE2ODAxNDU2Mjo6MDo6&url=%2FZEWZE-%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2581%258A%25E3%2581%2597%25E3%2582%2583%25E3%2582%258C-%25E3%2582%25B7%25E3%2583%25B3%25E3%2583%2597%25E3%2583%25AB-%25E3%2583%25A9%25E3%2582%25A4%25E3%2583%2588%25E3%2582%25B0%25E3%2583%25AC%25E3%2583%25BC%2Fdp%2FB09X56M3QK%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.FUwT9ARtPgvr-41yp0qa-ETR3VJrD7nWUBqfcLfCwlakVRTwg7OlURHSxM8s_B5QCbUgxDGGJB6HbrnuWVSipCJDKwi3gjM6R2dSxkZabp3ve6vYeP3dg3ThtCLjkDzXWZBZiIL7vfwDx6NAi9jH5AxMVu53XD9qqN8OVqMLug6_VtMfOpnj12bp4NsyXOO86pEbxps0ab7VhRIYmTJNcStIf0zM0XnWMviJb3pZ9fNQrCOQWfYZetmrk4MCT5HH_C9ytbxZQmDyIk1RjlaBaAbEaYsAYLRoEYf6AP-vfOU.IxZUrxaYSfd6vHZMSIPszi-egygGqa8GOHIJk0zjt_o%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%26qid%3D1747518489%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61rc6o0iavL._AC_UL320_.jpg,278,4.3,"1,592",,,
6,B0CLDBBP4G,WEMATEペンケース 大容量 筆箱横開き 2層 シンプル 多機能 おしゃれ-ジッパー ペンホルダー付き 強力な分類と収納力 ガジェットポーチ 収納ポーチ 旅行 出張 女の子、男の子、大人、小学生、高校生、大学生用-ライトグレー,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo3MTUxNDA5MjkzOTc1MzE4OjE3NDc1MTg0ODk6c3BfYXRmOjMwMDAzMjE5MTczNzY2Mjo6MDo6&url=%2FWEMATE%25E3%2583%259A%25E3%2583%25B3%25E3%2582%25B1%25E3%2583%25BC%25E3%2582%25B9-%25E3%2581%258A%25E3%2581%2597%25E3%2582%2583%25E3%2582%258C-%25E3%2582%25B8%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2583%259A%25E3%2583%25B3%25E3%2583%259B%25E3%2583%25AB%25E3%2583%2580%25E3%2583%25BC%25E4%25BB%2598%25E3%2581%258D-%25E5%25BC%25B7%25E5%258A%259B%25E3%2581%25AA%25E5%2588%2586%25E9%25A1%259E%25E3%2581%25A8%25E5%258F%258E%25E7%25B4%258D%25E5%258A%259B-%25E5%25A5%25B3%25E3%2581%25AE%25E5%25AD%2590%25E3%2580%2581%25E7%2594%25B7%25E3%2581%25AE%25E5%25AD%2590%25E3%2580%2581%25E5%25A4%25A7%25E4%25BA%25BA%25E3%2580%2581%25E5%25B0%258F%25E5%25AD%25A6%25E7%2594%259F%25E3%2580%2581%25E9%25AB%2598%25E6%25A0%25A1%25E7%2594%259F%25E3%2580%2581%25E5%25A4%25A7%25E5%25AD%25A6%25E7%2594%259F%25E7%2594%25A8-%25E3%2583%25A9%25E3%2582%25A4%25E3%2583%2588%25E3%2582%25B0%25E3%2583%25AC%25E3%2583%25BC%2Fdp%2FB0CLDBBP4G%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.FUwT9ARtPgvr-41yp0qa-ETR3VJrD7nWUBqfcLfCwlakVRTwg7OlURHSxM8s_B5QCbUgxDGGJB6HbrnuWVSipCJDKwi3gjM6R2dSxkZabp3ve6vYeP3dg3ThtCLjkDzXWZBZiIL7vfwDx6NAi9jH5AxMVu53XD9qqN8OVqMLug6_VtMfOpnj12bp4NsyXOO86pEbxps0ab7VhRIYmTJNcStIf0zM0XnWMviJb3pZ9fNQrCOQWfYZetmrk4MCT5HH_C9ytbxZQmDyIk1RjlaBaAbEaYsAYLRoEYf6AP-vfOU.IxZUrxaYSfd6vHZMSIPszi-egygGqa8GOHIJk0zjt_o%26dib_tag%3Dse%26keywords%3D%25E7%25AD%2586%25E7%25AE%25B1%26qid%3D1747518489%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81p+37Dq0AL._AC_UL320_.jpg,217,4.2,860,,,
7,B01LXP9I24,コクヨ ペンケース ペンスタンド 立つ スリム ネオクリッツ F-VBF180-1,https://www.amazon.co.jp/%E3%82%B3%E3%82%AF%E3%83%A8-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%8D%E3%82%AA%E3%82%AF%E3%83%AA%E3%83%83%E3%83%84-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%C3%97%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-F-VBF180-1/dp/B01LXP9I24/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FUwT9ARtPgvr-41yp0qa-ETR3VJrD7nWUBqfcLfCwlakVRTwg7OlURHSxM8s_B5QCbUgxDGGJB6HbrnuWVSipCJDKwi3gjM6R2dSxkZabp3ve6vYeP3dg3ThtCLjkDzXWZBZiIL7vfwDx6NAi9jH5AxMVu53XD9qqN8OVqMLug6_VtMfOpnj12bp4NsyXOO86pEbxps0ab7VhRIYmTJNcStIf0zM0XnWMviJb3pZ9fNQrCOQWfYZetmrk4MCT5HH_C9ytbxZQmDyIk1RjlaBaAbEaYsAYLRoEYf6AP-vfOU.IxZUrxaYSfd6vHZMSIPszi-egygGqa8GOHIJk0zjt_o&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1&qid=1747518489&sr=8-5,https://m.media-amazon.com/images/I/71xqkYfN0IL._AC_UL320_.jpg,3397,4.3,854,,,
8,B07ZMFQGX4,LOONLOON 663 ストーン ペンケース ブラック 大容量 おしゃれ 二階建て 多機能,https://www.amazon.co.jp/LOONLOON-%E3%82%B9%E3%83%88%E3%83%BC%E3%83%B3-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C/dp/B07ZMFQGX4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FUwT9ARtPgvr-41yp0qa-ETR3VJrD7nWUBqfcLfCwlakVRTwg7OlURHSxM8s_B5QCbUgxDGGJB6HbrnuWVSipCJDKwi3gjM6R2dSxkZabp3ve6vYeP3dg3ThtCLjkDzXWZBZiIL7vfwDx6NAi9jH5AxMVu53XD9qqN8OVqMLug6_VtMfOpnj12bp4NsyXOO86pEbxps0ab7VhRIYmTJNcStIf0zM0XnWMviJb3pZ9fNQrCOQWfYZetmrk4MCT5HH_C9ytbxZQmDyIk1RjlaBaAbEaYsAYLRoEYf6AP-vfOU.IxZUrxaYSfd6vHZMSIPszi-egygGqa8GOHIJk0zjt_o&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1&qid=1747518489&sr=8-6,https://m.media-amazon.com/images/I/71Cpy8QA1QL._AC_UL320_.jpg,2218,4.5,263,,,
9,B08F54318H,エムプラン キュービックス ペンケース ミニ エレガント グレー 106281-14,https://www.amazon.co.jp/%E3%82%A8%E3%83%A0%E3%83%97%E3%83%A9%E3%83%B3-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%93%E3%83%83%E3%82%AF%E3%82%B9-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%A8%E3%83%AC%E3%82%AC%E3%83%B3%E3%83%88-106281-14/dp/B08F54318H/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FUwT9ARtPgvr-41yp0qa-ETR3VJrD7nWUBqfcLfCwlakVRTwg7OlURHSxM8s_B5QCbUgxDGGJB6HbrnuWVSipCJDKwi3gjM6R2dSxkZabp3ve6vYeP3dg3ThtCLjkDzXWZBZiIL7vfwDx6NAi9jH5AxMVu53XD9qqN8OVqMLug6_VtMfOpnj12bp4NsyXOO86pEbxps0ab7VhRIYmTJNcStIf0zM0XnWMviJb3pZ9fNQrCOQWfYZetmrk4MCT5HH_C9ytbxZQmDyIk1RjlaBaAbEaYsAYLRoEYf6AP-vfOU.IxZUrxaYSfd6vHZMSIPszi-egygGqa8GOHIJk0zjt_o&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1&qid=1747518489&sr=8-7,https://m.media-amazon.com/images/I/61tjgGpOnTL._AC_UL320_.jpg,505,4.4,203,,,
10,,"ペンケース 大容量 おしゃれ シンプル 便利 韓国 ペン入れ 筆箱 小物入れ 高校生 中学生 男の子 女の子 文房具 (ホワイト, Ｂタイプ)",https://www.amazon.co.jp#,https://m.media-amazon.com/images/I/61Lf8CJ0vYL._AC_UL320_.jpg,278,4.3,796,,,
