キーワード,検索数,商品数,購入数,購入率,トラフィック比率
キューティクルニッパー,7103,9208,327,4.61%,7.62%
甘皮 ニッパー,7884,2303,350,4.45%,14.94%
ネイル プッシャー,2743,9164,119,4.34%,1.46%
甘皮処理,17745,2173,816,4.60%,11.89%
ジェルネイルセット,5852,49088,30,0.52%,0.80%
ネイルニッパー,5395,15796,156,2.91%,2.18%
ネイルケアセット,6881,36702,220,3.20%,10.14%
ペロリン剥がし,9125,87,250,2.75%,5.99%
キューティクル・リムーバー,766,8756,23,3.05%,0.00%
あまがわ処理,1694,117,89,5.27%,0.00%
甘皮リムーバー,6419,408,450,7.02%,11.36%
キューティクルリムーバー,12685,2500,682,5.38%,23.35%
甘皮処理 ニッパー,652,848,34,5.27%,0.00%
甘皮ケアツール/キューティクルツールセット,,0,,0.00%,0.00%
/ネイル/ネイル道具・ケアツール/甘皮ケアツール/キューティクルツールセット,,0,,0.00%,0.00%
キューティクルツールセット,,0,,0.00%,0.00%
セルフネイル 道具 一式,,220,,0.00%,2.14%
ネイルケア セット,870,27109,9,1.04%,0.00%
甘皮ニッパー,1354,2382,66,4.94%,0.00%
メタルプッシャー,,423,,0.00%,0.00%
プッシャー ネイル,1672,15346,99,5.93%,2.48%
爪 甘皮,,2210,,0.00%,0.00%
ネイル 甘皮処理,1127,2778,63,5.64%,0.00%
甘皮処理 リムーバー,1228,414,39,3.20%,0.00%
キューティクルネイル,,0,,0.00%,0.00%
{甘皮ケアリムーバー},,0,,0.00%,0.00%
ブルークロス キューティクルリムーバー,3967,170,201,5.09%,2.53%
ネイルリムーバー,6479,37061,270,4.17%,0.22%
甘皮処理リムーバー,,656,,0.00%,0.00%
ネイル ケア,1246,8315,32,2.64%,0.00%
爪 甘皮処理,1763,471,82,4.67%,0.03%
cuticle remover,1625,773,59,3.64%,0.00%
ジェルネイル セット,8181,57649,40,0.49%,0.04%
ネイル工房,12843,3154,62,0.49%,0.11%
ネイルケア,13818,49041,487,3.53%,0.13%
美甲用品工具,,0,,0.00%,0.00%
死皮剪,,0,,0.00%,0.00%
ワンキルリムーバー,625,59,16,2.71%,0.00%
ネイルケアセット 甘皮処理,,0,,0.00%,0.00%
ネイルケアキット,,13289,,0.00%,0.00%
ネイルセット,8560,53116,48,0.57%,0.22%
ネイルやすり セット,,0,,0.00%,0.00%
甘皮,6252,898,396,6.34%,0.07%
ジェルネイル リムーバー,13379,16501,507,3.79%,2.29%
甘皮ケアリムーバー,,0,,0.00%,0.00%
opi キューティクルリムーバー,,0,,0.00%,0.00%
アーキトーキョー ピールオフ,,106,,0.00%,0.00%
キューティクル ニッパー,,2510,,0.00%,0.00%
甘皮処理 セット,1426,543,39,2.74%,0.00%
爪 ケア,4335,48752,111,2.58%,0.00%
ジェルネイルケアセット,,0,,0.00%,0.00%
爪ケアセット 甘皮ケア,,0,,0.00%,0.00%
ニッパー爪切り,6285,11565,225,3.59%,0.00%
甘皮ケア,4915,895,207,4.23%,0.00%
ミカガミ,,0,,0.00%,0.00%
ネイル メンズ,,385,,0.00%,0.00%
爪 つや出し,924,431,27,2.93%,0.00%
爪 でこぼこ 修復,750,136,22,2.96%,0.00%
爪やすり 足の爪用,,1324,,0.00%,0.00%
爪 磨き,1812,5828,79,4.39%,0.00%
爪磨きセット,1900,4306,60,3.18%,0.00%
ネイルシャイナー,1911,1148,301,15.80%,0.00%
ささくれ,2527,1080,69,2.74%,0.00%
ネイルバッファー,2014,25232,76,3.81%,0.00%
爪ケア,4448,39597,136,3.06%,0.00%
ネイル用品,3168,72753,32,1.02%,0.00%
爪磨き ピカピカ,956,448,41,4.30%,0.00%
爪,4455,5734,163,3.66%,0.00%
エメリーボード,5472,1732,220,4.03%,0.00%
爪削り,7461,322,201,2.70%,0.00%
ネイルファイル,11748,25146,505,4.30%,0.00%
ささくれ切り,912,505,31,3.46%,0.00%
ニッパー 甘皮,,1438,,0.00%,0.00%
ネイルニッパー 甘皮,,813,,0.00%,0.00%
ネイル ニッパー,833,16535,33,4.06%,0.00%
ネイルプッシャー,1085,13896,58,5.38%,0.00%
爪 ニッパー,1770,2114,58,3.33%,0.00%
ニッパー ネイル,1161,5807,47,4.10%,0.00%
甘皮 プッシャー,2077,1270,79,3.81%,0.00%
あまがわ処理 ニッパー,742,272,38,5.22%,0.00%
あまかわきり,1859,53,57,3.07%,0.00%
あまかわとり,,32,,0.00%,0.00%
キューティクルプッシャー,3491,14224,106,3.04%,0.00%
無水エタノール ネイル,,116,,0.00%,0.00%
ジェルネイルリムーバー,3568,16243,145,4.08%,0.00%
