商品名,販売数,URL,画像URL,画像pHash,cos類似度,最も類似した画像URL,類似画像判定
1個 ビンテージコーデュロイ ステーショナリーポーチ、シンプルで優雅な高校生向けペンケース,2.6k+ sold,https://jp.shein.com/1pc-New-Vintage-Corduroy-Solid-Color-Stationery-Pouch-Simple-Elegant-Pencil-Case-For-High-School-Students-Back-To-School-p-40248290.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/08/03/1d/17226533826fb65cb811109fc74cd5b62df913b68d_thumbnail_600x.webp,aa39e4ddd2c29552,0.99999994,https://img.ltwebstatic.com/images3_spmp/2024/08/03/1d/17226533826fb65cb811109fc74cd5b62df913b68d_thumbnail_600x.webp,類似画像の可能性あり
SHEIN X Jess 1個 クリームバブル布鉛筆ケース、シンプルな鉛筆バッグ、学生、文具、化粧品収納袋に最適,1.3k+ sold,https://jp.shein.com/SHEIN-X-Jess-1pc-Cream-Bubble-Cloth-Pencil-Case-Simple-Pencil-Bag-Suitable-For-Students-Stationery-Cosmetics-Storage-Bag-p-23335466.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2023/09/14/00/16946800510e599ac9f158a48c67c3984c0d7f473e_thumbnail_600x.webp,ae3e94ce76c16027,0.5337118,https://m.media-amazon.com/images/I/81LGHxJyFlS._AC_UL960_FMwebp_QL65_.jpg,
メッシュ素材 トライアングルシェイプ 透明 ペンケース ペンポーチ ペンバッグ 3層 ガーゼ素材 ステーショナリー 文房具 学校オフィス用,1.4k+ sold,https://jp.shein.com/Transparent-3-Layer-Mesh-Pencil-Bag-Pen-Case-Triangle-Shape-Gauze-Storage-Pouch-For-Stationery-Office-School-Back-To-School-p-19146525.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2023/07/07/16887341903a97078af72fd90ba4bc82c050522188_thumbnail_600x.webp,aac2c4965b39ed62,0.5542977,https://m.media-amazon.com/images/I/81lcnQjDJPL._AC_UL960_FMwebp_QL65_.jpg,
韓国語版漫画キルティング鉛筆バッグ学生ダウンジャケット生地鉛筆バッグ真珠光沢のある色文具収納袋,2.0k+ sold,https://jp.shein.com/Korean-Version-Cartoon-Quilted-Pencil-Bag-Student-Down-Jacket-Fabric-Pencil-Bag-Pearlescent-Color-Stationery-Storage-Bag-p-27625129.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2025/03/03/93/1740987832dde48cb6e04b35dd3b64072a89f885fd_thumbnail_600x.webp,b43701cbcfc5d035,0.6035762,https://img.ltwebstatic.com/images3_spmp/2024/08/03/1d/17226533826fb65cb811109fc74cd5b62df913b68d_thumbnail_600x.webp,
リボン柄ペンケース 刺繍入り ペンポーチ、女性/学生向けステーショナリーオーガナイザー、イヤホン収納アクセサリー,9.7k+ sold,https://jp.shein.com/Bow-Knot-Pen-Bag-Embroidered-Pen-Pouch-Women-Student-Stationery-Organizer-Earphone-Storage-Accessory-Back-To-School-p-38644751.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/10/02/52/17278622836d4389ca28e9d4cf19960ea63154580c_thumbnail_600x.webp,e51229f598f0343f,0.45753157,https://m.media-amazon.com/images/I/51GGOhHrNAL._AC_UL960_FMwebp_QL65_.jpg,
韓国スタイルのクリアメッシュペンシルケース1個、試験専用の文具バッグ、大容量で収納に便利,1.9k+ sold,https://jp.shein.com/1pc-Korean-Style-Clear-Mesh-Pencil-Case-Exam-Specific-Stationery-Bag-With-Large-Capacity-For-Convenient-Storage-Back-To-School-p-25211349.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2023/10/22/22/1697968522fc6fac4dec4d1059fdb07b7ec3711c45_thumbnail_600x.webp,b340b92f411a8ff9,0.6642379,https://m.media-amazon.com/images/I/61lgNZYaijL._AC_UL960_FMwebp_QL65_.jpg,
1個 リボン柄 ペンケース、可愛らしい鉛筆箱、ペンホルダー、コインケース、消しゴム鉛筆削り収納バッグ、ミニマルコスメ収納、オフィス文房具ハイライターボックス、学校用品 新学期,400+ sold,https://jp.shein.com/1pc-Bowknot-Pencil-Case-Cute-Pencil-Box-Pen-Holder-Coin-Purse-Eraser-Pencil-Sharpener-Storage-Bag-Minimalist-Cosmetic-Organizer-Office-Stationery-Highlighter-Box-School-Supplies-Back-To-School-p-49899910.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/12/05/5f/1733383571828f5c65df20e1a16f95aefbe39dcd63_thumbnail_600x.webp,f860879730786bd6,0.47975436,https://img.ltwebstatic.com/images3_spmp/2024/08/03/1d/17226533826fb65cb811109fc74cd5b62df913b68d_thumbnail_600x.webp,
1個 黒蝶刺繍ペンケース、大容量ジッパー式ペンポーチ、蝶モチーフなし[オフィス・学校用品],1.0k+ sold,https://jp.shein.com/1pc-Black-Butterfly-Embroidered-Pencil-Case-Large-Capacity-Zipper-Pencil-Pouch-Pendant-Without-Butterfly-Office-And-School-Supplies-Back-To-School-p-41141227.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/08/24/2a/1724483849f91ce3773812feaa65041c789bf8c42f_thumbnail_600x.webp,a993837dd4876169,0.57177186,https://m.media-amazon.com/images/I/51GGOhHrNAL._AC_UL960_FMwebp_QL65_.jpg,
ユニークでクリエイティブなカエルぬいぐるみペンケース、漫画3Dカエルの口デザインの文房具バッグ、文房具、化粧品、日用品、学校、仕事、旅行、家庭の整理に最適な大容量マルチポーチ、学生、友人、パーティー、誕生日などの素晴らしいギフト,1.1k+ sold,https://jp.shein.com/Unique-Creative-Frog-Plush-Pencil-Case-Cartoon-3D-Frog-Mouth-Design-Stationery-Bag-Large-Space-Multi-Purpose-Storage-Pouch-For-Stationery-Cosmetics-Daily-Necessities-School-Work-Travel-Home-Organization-Great-Gift-For-Students-Friends-Parties-Birthdays-Back-To-School-p-46039792.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2025/01/10/ea/1736503041f15372d0b2282aea4f0a31746a56be27_thumbnail_600x.webp,d6a591e3458e7c0e,0.51797056,https://m.media-amazon.com/images/I/71PAJwm38ZL._AC_SL1500_.jpg ,
1個 日本と韓国のクリエイティブロープバックルの大容量鉛筆ケース、学習、オフィス、デスクトップ文房具収納バッグ、小中学生用、シンプルで持ち運びやすい、高美的な文房具バッグ,900+ sold,https://jp.shein.com/1-Japanese-And-Korean-Creative-Rope-Buckle-Large-Capacity-Pencil-Case-For-Learning-Office-Desktop-Stationery-Storage-Bag-For-Primary-And-Secondary-School-Students-Simple-And-Portable-High-Aesthetic-Storage-Stationery-Bag-Back-To-School-p-46926930.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/11/02/73/1730537506cd071ddd2b0b350c59a15b2660f995bf_thumbnail_600x.webp,e199b6c8c96788cd,0.58964896,https://m.media-amazon.com/images/I/81lcnQjDJPL._AC_UL960_FMwebp_QL65_.jpg,
