順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,直近30日販売数（子）,画像URL,ライバル候補
1,B07GLQG8XF,〔クラッセ〕顔すっきりテープ 1個 コスプレ 目立たない 目元 しわ ほうれい線 補正 整形 リフトアップテープ,https://www.amazon.co.jp/%E3%80%94%E3%82%AF%E3%83%A9%E3%83%83%E3%82%BB%E3%80%95%E9%A1%94%E3%81%99%E3%81%A3%E3%81%8D%E3%82%8A%E3%83%86%E3%83%BC%E3%83%97-%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC-%E7%9B%AE%E7%AB%8B%E3%81%9F%E3%81%AA%E3%81%84-%E3%81%BB%E3%81%86%E3%82%8C%E3%81%84%E7%B7%9A-%E3%83%AA%E3%83%95%E3%83%88%E3%82%A2%E3%83%83%E3%83%97%E3%83%86%E3%83%BC%E3%83%97/dp/B07GLQG8XF/ref=zg_bs_g_10472299051_d_sccl_1/356-1778989-8756505?psc=1,1614,4.1,"1,948","1,000+","https://images-fe.ssl-images-amazon.com/images/I/71jSIQ1dOxL._AC_UL600_SR600,400_.jpg",
2,B06ZZ5K691,N/A,https://www.amazon.co.jp/chalt-%E3%83%95%E3%82%A3%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%93%E3%83%BC%E3%82%BA-%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC-%E3%82%B3%E3%82%B9%E3%83%81%E3%83%A5%E3%83%BC%E3%83%A0%E7%94%A8%E5%B0%8F%E7%89%A9-%E3%83%8F%E3%83%BC%E3%83%89%E3%82%BF%E3%82%A4%E3%83%97/dp/B06ZZ5K691/ref=zg_bs_g_10472299051_d_sccl_2/356-1778989-8756505?psc=1,1239,3.6,596,400+,"https://images-fe.ssl-images-amazon.com/images/I/81gRQw+JgxL._AC_UL600_SR600,400_.jpg",
3,B091Y95R77,N/A,https://www.amazon.co.jp/Worldcosmetics365-%E3%83%89%E3%83%BC%E3%83%A9%E3%83%B3-%E3%83%95%E3%82%A7%E3%82%A4%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E3%83%88-%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%97%EF%BC%88%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%EF%BC%89/dp/B091Y95R77/ref=zg_bs_g_10472299051_d_sccl_3/356-1778989-8756505?psc=1,192,4.0,506,100+,"https://images-fe.ssl-images-amazon.com/images/I/51uGza5CfJS._AC_UL600_SR600,400_.jpg",
4,B08MVWCKKJ,コスプレボード 白5ｍｍ厚×400ｍｍ×1000ｍｍ 日本製 正規品コスプレ 衣装 ボード 造形 DIY 工作 ジオラマ 模型 緩衝材 国産 【商標登録番号 第518478942461】,https://www.amazon.co.jp/%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%9C%E3%83%BC%E3%83%89-%E7%99%BD5%EF%BD%8D%EF%BD%8D%E5%8E%9A%C3%97400%EF%BD%8D%EF%BD%8D%C3%971000%EF%BD%8D%EF%BD%8D/dp/B08MVWCKKJ/ref=zg_bs_g_10472299051_d_sccl_4/356-1778989-8756505?psc=1,233,4.5,474,100+,"https://images-fe.ssl-images-amazon.com/images/I/61KuMCKSmSL._AC_UL600_SR600,400_.jpg",
5,B07G8XFXYB,N/A,https://www.amazon.co.jp/MilicaBooks-%E3%82%A6%E3%82%A3%E3%83%83%E3%82%B0%E3%82%AA%E3%82%A4%E3%83%AB-195ml-%E3%83%9F%E3%82%B9%E3%83%88%E3%82%BF%E3%82%A4%E3%83%97-%E3%81%A4%E3%82%84%E3%81%A4%E3%82%84/dp/B07G8XFXYB/ref=zg_bs_g_10472299051_d_sccl_5/356-1778989-8756505?psc=1,519,4.0,557,400+,"https://images-fe.ssl-images-amazon.com/images/I/51cFLMrkxpL._AC_UL600_SR600,400_.jpg",
6,B0FHHDQ89L,N/A,https://www.amazon.co.jp/BINIMOKOO-%E8%82%A9%E3%83%91%E3%83%83%E3%83%89-%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%A2%E3%83%B3%E3%83%81%E3%82%B9%E3%83%AA%E3%83%83%E3%83%97%E8%82%A9%E3%83%91%E3%83%83%E3%83%89-%E5%86%8D%E5%88%A9%E7%94%A8%E5%8F%AF%E8%83%BD-%E5%A5%B3%E6%80%A7%E5%90%91%E3%81%8D%EF%BC%89/dp/B0FHHDQ89L/ref=zg_bs_g_10472299051_d_sccl_6/356-1778989-8756505?psc=1,17,4.0,189,100+,"https://images-fe.ssl-images-amazon.com/images/I/51medpc7GuL._AC_UL600_SR600,400_.jpg",ライバル候補
7,B08W1WK28J,[クラッセ] 日本製 コスプレ 肌ピタ両面テープ スリム 幅10mm 強力 テーピング 布・肌用両面テープ 強力接着 着崩れ防止 ズレ防止 インナー 肩紐 衣類,https://www.amazon.co.jp/%E3%82%AF%E3%83%A9%E3%83%83%E3%82%BB-%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E7%94%A8-%E8%82%8C%E3%83%94%E3%82%BF%E4%B8%A1%E9%9D%A2%E3%83%86%E3%83%BC%E3%83%97-%E5%B9%8510mm-%E5%B8%83%E3%83%BB%E8%82%8C%E7%94%A8%E4%B8%A1%E9%9D%A2%E3%83%86%E3%83%BC%E3%83%97/dp/B08W1WK28J/ref=zg_bs_g_10472299051_d_sccl_7/356-1778989-8756505?psc=1,117,3.9,427,100+,"https://images-fe.ssl-images-amazon.com/images/I/61icmHTzNyL._AC_UL600_SR600,400_.jpg",
8,B0CYWJDSVN,N/A,https://www.amazon.co.jp/WinJapan-%E3%82%A6%E3%82%A3%E3%83%83%E3%82%B0-%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC-%E5%A4%89%E8%A3%85%E3%82%B0%E3%83%83%E3%82%BA-%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3/dp/B0CYWJDSVN/ref=zg_bs_g_10472299051_d_sccl_8/356-1778989-8756505?psc=1,64,3.4,363,30+,"https://images-fe.ssl-images-amazon.com/images/I/61JI3eYNr2L._AC_UL600_SR600,400_.jpg",
9,B097P89MNR,N/A,https://www.amazon.co.jp/%E3%82%A6%E3%82%A3%E3%83%83%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88-5%E5%80%8B%E3%82%BB%E3%83%83%E3%83%88-shefun-%E3%82%A6%E3%82%A3%E3%83%83%E3%82%B0%E3%82%AD%E3%83%A3%E3%83%83%E3%83%97-%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B5%E3%82%A4%E3%82%BA/dp/B097P89MNR/ref=zg_bs_g_10472299051_d_sccl_9/356-1778989-8756505?psc=1,139,3.9,459,300+,"https://images-fe.ssl-images-amazon.com/images/I/81B9YRFS1US._AC_UL600_SR600,400_.jpg",
10,B09QRRMPTP,眉隠シール 4色 4シート(16枚)入り 極薄0.015mm ライトベージュ B30,https://www.amazon.co.jp/%EF%BC%BB%E3%82%AF%E3%83%A9%E3%83%83%E3%82%BB%EF%BC%BD%E7%9C%89%E9%9A%A0%E3%82%B7%E3%83%BC%E3%83%AB-%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E5%B0%82%E9%96%80%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E3%81%AE%E7%9C%89%E6%AF%9B%E9%9A%A0%E3%81%97-%E4%B8%8A%E3%81%8B%E3%82%89%E3%83%A1%E3%82%A4%E3%82%AF%E5%8F%AF-%E6%A5%B5%E8%96%840-015%E3%8E%9C-%E3%83%A9%E3%82%A4%E3%83%88%E3%83%99%E3%83%BC%E3%82%B8%E3%83%A5/dp/B09QRRMPTP/ref=zg_bs_g_10472299051_d_sccl_10/356-1778989-8756505?psc=1,320,4.2,321,200+,"https://images-fe.ssl-images-amazon.com/images/I/71+aWDeJ9wL._AC_UL600_SR600,400_.jpg",
