商品URL（他販路）,商品画像URL（他販路）,販路,類似度,最も類似したAmazon画像URL,販売数
マニキュア・ペディキュアのためのマルチ機能ネイルリムーバークリーニングツール、ダブルヘッドキューティクルプッシャー、100本3インチオレンジウッドキューティクルプッシャーネイルスティック,//img.ltwebstatic.com/images3_spmp/2023/09/28/dd/169588069283d93f7ef99cf9ba9c7526e4d0366d55_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.52937216,https://m.media-amazon.com/images/I/51PIrm8AZHL._AC_UL320_.jpg,17
キューティクルニッパー ネイルマニキュアはさみ トリマー 角質リムーバー ステンレス鋼ツール シャープ キューティクルクリッパー 角質リムーバー ネイルキューティクルトリマー,//img.ltwebstatic.com/images3_spmp/2023/07/07/1688717778e444cccbd5bfc2a93c61d5ef4854d3ad_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.4794071,https://m.media-amazon.com/images/I/51PIrm8AZHL._AC_UL320_.jpg,17
甘皮ケア製品 甘皮ソフナー 甘皮取り ネイルケアツール,//img.ltwebstatic.com/images3_spmp/2024/07/08/a5/172043376423865e57246da1690fe7b9e49e7fca85_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.45623288,https://m.media-amazon.com/images/I/71e7TLgxx8L._AC_UL320_.jpg,11
FULL BEAUTY 爪角質除去ジェルクリーム 指先保湿ケア 30ml,//img.ltwebstatic.com/images3_spmp/2024/07/08/1e/1720406538cded9f99e4474cbf8e81d6dd75407e9a_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.48479646,https://m.media-amazon.com/images/I/61asiBwmrPS._AC_UL320_.jpg,4257
5 個コンパクトポータブル洗える再利用可能な石英ペン & 多機能爪やすりペンマニキュアと剥離 & 研磨ペン用ネイルアート爪やすりリムーバーネイルバッファ軽石爪キューティクルプッシャー爪ジェルネイルナチュラルネイル,//img.ltwebstatic.com/images3_spmp/2023/07/24/16901928255fc57e1d38d31b7f34d7f79c8a950f55_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.4737479,https://m.media-amazon.com/images/I/61GvfnrU3uL._AC_UL320_.jpg,nan
FULL BEAUTY 爪用木製スティック 50本 キューティクルプッシャー & リムーバーセット マニキュア & ペディキュア用 使い捨てセット 自宅 & サロンに便利 - 簡単に壊れません,//img.ltwebstatic.com/images3_pi/2023/02/09/1675940004fba658f754c29b98cd274247b6b4da77_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.4062934,https://m.media-amazon.com/images/I/61IDdB1is4L._AC_UL320_.jpg,2
3 ピース/セット爪剥離ツール ステンレス鋼はさみキューティクル プッシャーとリムーバー,//img.ltwebstatic.com/images3_spmp/2024/11/18/c4/173190001130096bc69d8c91010eb3a61942149b32_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.46840495,https://m.media-amazon.com/images/I/61IDdB1is4L._AC_UL320_.jpg,2
ステンレス製 指の爪のお手入れ用フォーク キューティクルクリーナー プッシャー マニキュアペディキュアツール,//img.ltwebstatic.com/images3_spmp/2023/09/15/8c/16947635394f44e693ae2d2312a8aa12da4c2949a0_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.4244781,https://m.media-amazon.com/images/I/61asiBwmrPS._AC_UL320_.jpg,4257
プロフェッショナルなキューティクルトリマーニッパーはさみ、ステンレス製のネイルクリッパー除去器、ペディキュア・マニキュア用アクセサリーツール1個,//img.ltwebstatic.com/images3_spmp/2024/03/04/26/1709559617a54478d802fbad264d02ab8e8aa5fbe7_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.4790196,https://m.media-amazon.com/images/I/51TRTl7fTYL._AC_UL320_.jpg,36
5本入り ネイルファイル キューティクルプッシャー ネイルポリッシングスティック、マニキュアペン キューティクルリムーバー トリマー バッファー マニキュアツール、ホームサロン用 エクスフォリエイティングクォーツペン セラミックポリッシングヘッド、マニキュアツール クオーツペン ネイルアート 角質除去 ポリッシングペン 1/2/5本入り,//img.ltwebstatic.com/images3_spmp/2024/09/15/35/17263913066fb9fb9278ca7e1e4e6a934a8bf7438e_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.45440674,https://m.media-amazon.com/images/I/61IDdB1is4L._AC_UL320_.jpg,2
ネイル 甘皮除去 トリートメント スクラブ 抗スクラッチ 1本入り,//img.ltwebstatic.com/images3_spmp/2023/09/14/9e/1694665021c6966ad9abb010398d23642a788304f8_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.50180143,https://m.media-amazon.com/images/I/71e7TLgxx8L._AC_UL320_.jpg,11
ステンレススチール製ネイルカッター はさみ ニッパー2個セット、多機能キューティクルプッシャー リムーバー ネイルケア マニキュアキット,//img.ltwebstatic.com/images3_spmp/2024/12/05/37/1733379156353963f2b7b6d266973cec7092b78d3d_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.48005342,https://m.media-amazon.com/images/I/714QTj9K3qL._AC_UL320_.jpg,15
FULL BEAUTY 2個セット 角質除去鋼製キューティクルプッシャー15ml ネイルうるおい保湿液 ネイルアート ケア 補修 マニキュア ソフト化剤 ネイルケアツールセット,//img.ltwebstatic.com/images3_spmp/2024/10/09/62/17284633824d059637d428057a1a25e00c378607af_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.48052567,https://m.media-amazon.com/images/I/51PIrm8AZHL._AC_UL320_.jpg,17
FULL BEAUTY 60ml 保湿カットリムーバー ジェルクリーム ネイルアート 補修 爪の処理 ツール,//img.ltwebstatic.com/images3_spmp/2024/07/08/cf/172040711496339f1e2e82944293cce3938c2a1433_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.45840767,https://m.media-amazon.com/images/I/71ccRf7wo1L._AC_UL320_.jpg,29
3本ステンレススチールネイルデッドスキンリムーバープッシャー＆プライヤーセット,//img.ltwebstatic.com/images3_pi/2023/04/18/1681804607ca505fdafb91b9e1577686c22ceee20d_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.42073226,https://m.media-amazon.com/images/I/61IDdB1is4L._AC_UL320_.jpg,2
TWOING 5個セット ネイルケア用ポータブルペン 新世代の多機能型マニキュアリムーバー,//img.ltwebstatic.com/images3_spmp/2024/03/11/de/17101424455c45915ba7d9b3734e1d5a5dbe231ffc_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.4163422,https://m.media-amazon.com/images/I/61IDdB1is4L._AC_UL320_.jpg,2
ダブルエンドシルバーキューティクルプッシャー ステンレス製 デッドスキン除去用 ジェルポリッシュ除去用 ネイルアートクリーナー お手入れツール 1個,//img.ltwebstatic.com/images3_spmp/2023/11/02/5c/16989155585e96b04157eba6b265eb7ea593b76e10_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.5259013,https://m.media-amazon.com/images/I/61GvfnrU3uL._AC_UL320_.jpg,nan
1個 プロ用キューティクルトリマーニッパーはさみステンレス製の爪切り取り外し器、ペディキュア・マニキュアアクセサリーツール,//img.ltwebstatic.com/images3_spmp/2024/03/04/39/1709559604d9f24ec4776b352f83170821db02ff90_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.47385395,https://m.media-amazon.com/images/I/714QTj9K3qL._AC_UL320_.jpg,15
爪のケア用品 カルシウム入りベースコート ネイルポリッシュケアオイル 保湿クリーム 日常的に使用できる角質除去クリーム ネイルケア総合セット,//img.ltwebstatic.com/images3_spmp/2023/10/05/9d/16964690605c5bb615ce1ca0e6c1be9f4f10b72fb0_thumbnail_600x.webp,SHEIN検索結果_20250506_233105,0.5338298,https://m.media-amazon.com/images/I/71e7TLgxx8L._AC_UL320_.jpg,11
